citation_key,work_id,canonical_title,authors,year,venue,doi,arxiv_id,primary_url,bibtex_source,verification_status,paper_sections
"lu2025agentrewardbench","agentrewardbench","AgentRewardBench: Evaluating Automatic Evaluations of Web Agent Trajectories","Xing Han Lù; Amirhossein Kazemnejad; Nicholas Meade; Arkil Patel; Dongchan Shin; Alejandra Zambrano; Karolina Stańczak; Peter Shaw; Christopher J. Pal; Siva Reddy","2025","Second Conference on Language Modeling","","2504.08942","https://openreview.net/forum?id=fQcUZMPIvu","official OpenReview and arXiv metadata","VERIFIED_PRIMARY","Related Work paragraph 1; dataset relationship; limitations"
"chae2025webshepherd","web_shepherd","Web-Shepherd: Advancing PRMs for Reinforcing Web Agents","Hyungjoo Chae; Seonghwan Kim; Junhee Cho; Seungone Kim; Seungjun Moon; Gyeom Hwangbo; Dongha Lim; Minjin Kim; Yeonjun Hwang; Minju Gwak; Dongwook Choi; Minseok Kang; Gwanhoon Im; ByeongUng Cho; Hyojun Kim; Jun Han; Taeyoon Kwon; Minju Kim; Beong-woo Kwak; Dongjin Kang; Jinyoung Yeo","2025","Advances in Neural Information Processing Systems 38","","2505.15277","https://proceedings.neurips.cc/paper_files/paper/2025/hash/5bac36213824c6e0b0a173df8e2276a6-Abstract-Conference.html","official NeurIPS proceedings metadata","VERIFIED_PRIMARY","Related Work paragraph 2"
"xia-etal-2025-agentrm","agentrm","AgentRM: Enhancing Agent Generalization with Reward Modeling","Yu Xia; Jingru Fan; Weize Chen; Siyu Yan; Xin Cong; Zhong Zhang; Yaxi Lu; Yankai Lin; Zhiyuan Liu; Maosong Sun","2025","Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)","10.18653/v1/2025.acl-long.945","2502.18407","https://aclanthology.org/2025.acl-long.945/","official ACL Anthology BibTeX","VERIFIED_PRIMARY","Related Work paragraph 2"
"pmlr-v267-zhuge25a","agent_as_a_judge","Agent-as-a-Judge: Evaluate Agents with Agents","Mingchen Zhuge; Changsheng Zhao; Dylan R. Ashley; Wenyi Wang; Dmitrii Khizbullin; Yunyang Xiong; Zechun Liu; Ernie Chang; Raghuraman Krishnamoorthi; Yuandong Tian; Yangyang Shi; Vikas Chandra; Jürgen Schmidhuber","2025","Proceedings of the 42nd International Conference on Machine Learning","","2410.10934","https://proceedings.mlr.press/v267/zhuge25a.html","official PMLR BibTeX","VERIFIED_PRIMARY","Related Work paragraph 1"
"zhang2026webarbiter","webarbiter","WebArbiter: A Principle-Guided Reasoning Process Reward Model for Web Agents","Yao Zhang; Shijie Tang; Zeyu Li; Zhen Han; Volker Tresp","2026","arXiv preprint","","2601.21872","https://arxiv.org/abs/2601.21872","official arXiv metadata","VERIFIED_PRIMARY","Related Work paragraph 2"
"fan2026agentprocessbench","agentprocessbench","AgentProcessBench: Diagnosing Step-Level Process Quality in Tool-Using Agents","Shengda Fan; Xuyan Ye; Yupeng Huo; Zhi-Yuan Chen; Yiju Guo; Shenzhi Yang; Wenkai Yang; Shuqi Ye; Jingwen Chen; Haotian Chen; Xin Cong; Yankai Lin","2026","Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2","10.1145/3770855.3817494","2603.14465","https://arxiv.org/abs/2603.14465","official arXiv metadata carrying ACM DOI and venue","VERIFIED_PRIMARY","Related Work paragraph 2"
"lin2026cuarewardbench","cuarewardbench","CUARewardBench: Benchmarking Reward Models for Computer-Use Agents","Haojia Lin; Xiaoyu Tan; Yulei Qin; Zihan Xu; Yuchen Shi; Zongyi Li; Gang Li; Shaofei Cai; Siqi Cai; Yuzheng Cai; Chaoyou Fu; Ke Li; Xing Sun","2026","Proceedings of the 43rd International Conference on Machine Learning","","2510.18596","https://openreview.net/forum?id=Xj7V0wKlE5","official ICML 2026 OpenReview metadata","VERIFIED_WITH_LIMITATION","Related Work paragraph 1; version limitation"
"pmlr-v267-miao25b","similar_srm","Boosting Virtual Agent Learning and Reasoning: A Step-Wise, Multi-Dimensional, and Generalist Reward Model with Benchmark","Bingchen Miao; Yang Wu; Minghe Gao; Qifan Yu; Wendong Bu; Wenqiao Zhang; Yunfei Li; Siliang Tang; Tat-Seng Chua; Juncheng Li","2025","Proceedings of the 42nd International Conference on Machine Learning","","2503.18665","https://proceedings.mlr.press/v267/miao25b.html","official PMLR BibTeX","VERIFIED_PRIMARY","Related Work process/reward paragraph; canonical identity note"
"qian2025webgrapheval","webgrapheval","WebGraphEval: Multi-Turn Trajectory Evaluation for Web Agents using Graph Representation","Yaoyao Qian; Yuanli Wang; Jinda Zhang; Yun Zong; Meixu Chen; Hanhan Zhou; Jindan Huang; Yifan Zeng; Xinyu Hu; Chan Hee Song; Danqing Zhang","2025","NeurIPS 2025 Workshop: Multi-Turn Interactions in Large Language Models","","2510.19205","https://arxiv.org/abs/2510.19205","official arXiv v1 metadata and paper","VERIFIED_PRIMARY","Related Work structural/graph paragraph; closest-work boundary"
"chung2026did","webstep","Where Did It Go Wrong? Process-Level Evaluation of Web Agents with Semantic State Tracking","Jiwan Chung; JiHyuk Byun; Vibhav Vineet; Seon Joo Kim","2026","COLM 2026","","2606.15673","https://arxiv.org/abs/2606.15673","official arXiv v2 metadata and official project page","VERIFIED_PRIMARY","Related Work process-evaluation paragraph; closest-work boundary"
