trajectory_key,target,label,held_out_model,role,group_key,benchmark_group_primary,benchmark_group_secondary,model_name
assistantbench::assistantbench.validation.11::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,assistantbench::assistantbench.validation.11,assistantbench,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
assistantbench::assistantbench.validation.11::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.11,assistantbench,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet
assistantbench::assistantbench.validation.11::GenericAgent-gpt-4o-2024-11-20,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.11,assistantbench,assistantbench,GenericAgent-gpt-4o-2024-11-20
assistantbench::assistantbench.validation.11::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.11,assistantbench,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
assistantbench::assistantbench.validation.25::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,assistantbench::assistantbench.validation.25,assistantbench,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
assistantbench::assistantbench.validation.25::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.25,assistantbench,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet
assistantbench::assistantbench.validation.25::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.25,assistantbench,assistantbench,GenericAgent-gpt-4o-2024-11-20
assistantbench::assistantbench.validation.25::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.25,assistantbench,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
assistantbench::assistantbench.validation.31::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,assistantbench::assistantbench.validation.31,assistantbench,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
assistantbench::assistantbench.validation.31::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.31,assistantbench,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet
assistantbench::assistantbench.validation.31::GenericAgent-gpt-4o-2024-11-20,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.31,assistantbench,assistantbench,GenericAgent-gpt-4o-2024-11-20
assistantbench::assistantbench.validation.31::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.31,assistantbench,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
assistantbench::assistantbench.validation.3::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,assistantbench::assistantbench.validation.3,assistantbench,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
assistantbench::assistantbench.validation.3::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.3,assistantbench,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet
assistantbench::assistantbench.validation.3::GenericAgent-gpt-4o-2024-11-20,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.3,assistantbench,assistantbench,GenericAgent-gpt-4o-2024-11-20
assistantbench::assistantbench.validation.3::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.3,assistantbench,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
assistantbench::assistantbench.validation.4::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,assistantbench::assistantbench.validation.4,assistantbench,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
assistantbench::assistantbench.validation.4::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.4,assistantbench,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet
assistantbench::assistantbench.validation.4::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.4,assistantbench,assistantbench,GenericAgent-gpt-4o-2024-11-20
assistantbench::assistantbench.validation.4::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.4,assistantbench,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
assistantbench::assistantbench.validation.5::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,assistantbench::assistantbench.validation.5,assistantbench,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
assistantbench::assistantbench.validation.5::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.5,assistantbench,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet
assistantbench::assistantbench.validation.5::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.5,assistantbench,assistantbench,GenericAgent-gpt-4o-2024-11-20
assistantbench::assistantbench.validation.5::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,looping,1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,assistantbench::assistantbench.validation.5,assistantbench,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
visualwebarena::visualwebarena.118::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,validation,visualwebarena::visualwebarena.118,visualwebarena,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
visualwebarena::visualwebarena.118::GenericAgent-anthropic_claude-3.7-sonnet,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.118,visualwebarena,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet
visualwebarena::visualwebarena.118::GenericAgent-gpt-4o-2024-11-20,looping,0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,train,visualwebarena::visualwebarena.118,visualwebarena,visualwebarena,GenericAgent-gpt-4o-2024-11-20
