criterion_id,primary_score_0_4,adversarial_score_0_4,counterevidence_ids,attack_argument,score_change_reason
SV1.1,4,4,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV1.2,3,3,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV1.3,3,2,R0E001;R0E019;R0E044,"The original H1 asks broader dimension-aware representation and benchmark-shift questions; the final paper package answers a narrower structural-signal question.","Lowered because the design answers only part of the original research program even though the narrowed manuscript question remains valid."
SV1.4,2,2,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV1.5,4,4,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV2.1,4,4,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV2.2,3,3,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV2.3,3,3,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV2.4,2,2,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV2.5,2,2,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV3.1,3,3,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV3.2,4,4,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV3.3,4,4,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV3.4,4,4,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV3.5,4,4,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
SV3.6,4,4,,"A rejection-oriented review tested this criterion against the persistent limitations and found no additional concrete counterevidence warranting a lower frozen anchor.","Adversarial score retained; the primary limitation already matches the applicable anchor."
