trajectory_key,group_key,target,label,outer_fold,outer_role,inner_split,inner_n_splits,benchmark_original,benchmark_group_primary,benchmark_group_secondary,normalized_task_id,model_name,official_split
assistantbench::assistantbench.validation.11::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,assistantbench::assistantbench.validation.11,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.11,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
assistantbench::assistantbench.validation.11::GenericAgent-anthropic_claude-3.7-sonnet,assistantbench::assistantbench.validation.11,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.11,GenericAgent-anthropic_claude-3.7-sonnet,dev
assistantbench::assistantbench.validation.11::GenericAgent-gpt-4o-2024-11-20,assistantbench::assistantbench.validation.11,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.11,GenericAgent-gpt-4o-2024-11-20,dev
assistantbench::assistantbench.validation.11::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,assistantbench::assistantbench.validation.11,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.11,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,dev
assistantbench::assistantbench.validation.25::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,assistantbench::assistantbench.validation.25,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.25,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
assistantbench::assistantbench.validation.25::GenericAgent-anthropic_claude-3.7-sonnet,assistantbench::assistantbench.validation.25,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.25,GenericAgent-anthropic_claude-3.7-sonnet,dev
assistantbench::assistantbench.validation.25::GenericAgent-gpt-4o-2024-11-20,assistantbench::assistantbench.validation.25,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.25,GenericAgent-gpt-4o-2024-11-20,dev
assistantbench::assistantbench.validation.25::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,assistantbench::assistantbench.validation.25,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.25,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,dev
assistantbench::assistantbench.validation.31::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,assistantbench::assistantbench.validation.31,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.31,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
assistantbench::assistantbench.validation.31::GenericAgent-anthropic_claude-3.7-sonnet,assistantbench::assistantbench.validation.31,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.31,GenericAgent-anthropic_claude-3.7-sonnet,dev
assistantbench::assistantbench.validation.31::GenericAgent-gpt-4o-2024-11-20,assistantbench::assistantbench.validation.31,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.31,GenericAgent-gpt-4o-2024-11-20,dev
assistantbench::assistantbench.validation.31::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,assistantbench::assistantbench.validation.31,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.31,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,dev
assistantbench::assistantbench.validation.3::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,assistantbench::assistantbench.validation.3,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.3,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
assistantbench::assistantbench.validation.3::GenericAgent-anthropic_claude-3.7-sonnet,assistantbench::assistantbench.validation.3,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.3,GenericAgent-anthropic_claude-3.7-sonnet,dev
assistantbench::assistantbench.validation.3::GenericAgent-gpt-4o-2024-11-20,assistantbench::assistantbench.validation.3,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.3,GenericAgent-gpt-4o-2024-11-20,dev
assistantbench::assistantbench.validation.3::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,assistantbench::assistantbench.validation.3,side_effect,0,1,outer_validation,not_applicable,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.3,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,dev
assistantbench::assistantbench.validation.4::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,assistantbench::assistantbench.validation.4,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.4,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
assistantbench::assistantbench.validation.4::GenericAgent-anthropic_claude-3.7-sonnet,assistantbench::assistantbench.validation.4,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.4,GenericAgent-anthropic_claude-3.7-sonnet,dev
assistantbench::assistantbench.validation.4::GenericAgent-gpt-4o-2024-11-20,assistantbench::assistantbench.validation.4,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.4,GenericAgent-gpt-4o-2024-11-20,dev
assistantbench::assistantbench.validation.4::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,assistantbench::assistantbench.validation.4,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.4,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,dev
assistantbench::assistantbench.validation.5::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,assistantbench::assistantbench.validation.5,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.5,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
assistantbench::assistantbench.validation.5::GenericAgent-anthropic_claude-3.7-sonnet,assistantbench::assistantbench.validation.5,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.5,GenericAgent-anthropic_claude-3.7-sonnet,dev
assistantbench::assistantbench.validation.5::GenericAgent-gpt-4o-2024-11-20,assistantbench::assistantbench.validation.5,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.5,GenericAgent-gpt-4o-2024-11-20,dev
assistantbench::assistantbench.validation.5::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,assistantbench::assistantbench.validation.5,side_effect,0,1,outer_train,inner_validation,5,assistantbench,assistantbench,assistantbench,assistantbench.validation.5,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,dev
visualwebarena::visualwebarena.118::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena::visualwebarena.118,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.118,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
visualwebarena::visualwebarena.118::GenericAgent-anthropic_claude-3.7-sonnet,visualwebarena::visualwebarena.118,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.118,GenericAgent-anthropic_claude-3.7-sonnet,dev
visualwebarena::visualwebarena.118::GenericAgent-gpt-4o-2024-11-20,visualwebarena::visualwebarena.118,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.118,GenericAgent-gpt-4o-2024-11-20,dev
visualwebarena::visualwebarena.133::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena::visualwebarena.133,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.133,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
visualwebarena::visualwebarena.133::GenericAgent-anthropic_claude-3.7-sonnet,visualwebarena::visualwebarena.133,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.133,GenericAgent-anthropic_claude-3.7-sonnet,dev
visualwebarena::visualwebarena.133::GenericAgent-gpt-4o-2024-11-20,visualwebarena::visualwebarena.133,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.133,GenericAgent-gpt-4o-2024-11-20,dev
visualwebarena::visualwebarena.248::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena::visualwebarena.248,side_effect,1,1,outer_train,inner_validation,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.248,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
visualwebarena::visualwebarena.248::GenericAgent-anthropic_claude-3.7-sonnet,visualwebarena::visualwebarena.248,side_effect,0,1,outer_train,inner_validation,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.248,GenericAgent-anthropic_claude-3.7-sonnet,dev
visualwebarena::visualwebarena.248::GenericAgent-gpt-4o-2024-11-20,visualwebarena::visualwebarena.248,side_effect,0,1,outer_train,inner_validation,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.248,GenericAgent-gpt-4o-2024-11-20,dev
visualwebarena::visualwebarena.352::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena::visualwebarena.352,side_effect,0,1,outer_validation,not_applicable,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.352,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
visualwebarena::visualwebarena.352::GenericAgent-anthropic_claude-3.7-sonnet,visualwebarena::visualwebarena.352,side_effect,0,1,outer_validation,not_applicable,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.352,GenericAgent-anthropic_claude-3.7-sonnet,dev
visualwebarena::visualwebarena.352::GenericAgent-gpt-4o-2024-11-20,visualwebarena::visualwebarena.352,side_effect,0,1,outer_validation,not_applicable,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.352,GenericAgent-gpt-4o-2024-11-20,dev
visualwebarena::visualwebarena.419::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena::visualwebarena.419,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.419,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
visualwebarena::visualwebarena.419::GenericAgent-anthropic_claude-3.7-sonnet,visualwebarena::visualwebarena.419,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.419,GenericAgent-anthropic_claude-3.7-sonnet,dev
visualwebarena::visualwebarena.419::GenericAgent-gpt-4o-2024-11-20,visualwebarena::visualwebarena.419,side_effect,1,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.419,GenericAgent-gpt-4o-2024-11-20,dev
visualwebarena::visualwebarena.525::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena::visualwebarena.525,side_effect,0,1,outer_train,inner_validation,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.525,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
visualwebarena::visualwebarena.525::GenericAgent-anthropic_claude-3.7-sonnet,visualwebarena::visualwebarena.525,side_effect,0,1,outer_train,inner_validation,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.525,GenericAgent-anthropic_claude-3.7-sonnet,dev
visualwebarena::visualwebarena.525::GenericAgent-gpt-4o-2024-11-20,visualwebarena::visualwebarena.525,side_effect,0,1,outer_train,inner_validation,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.525,GenericAgent-gpt-4o-2024-11-20,dev
visualwebarena::visualwebarena.64::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena::visualwebarena.64,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.64,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
visualwebarena::visualwebarena.64::GenericAgent-anthropic_claude-3.7-sonnet,visualwebarena::visualwebarena.64,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.64,GenericAgent-anthropic_claude-3.7-sonnet,dev
visualwebarena::visualwebarena.64::GenericAgent-gpt-4o-2024-11-20,visualwebarena::visualwebarena.64,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.64,GenericAgent-gpt-4o-2024-11-20,dev
visualwebarena::visualwebarena.739::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,visualwebarena::visualwebarena.739,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.739,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
visualwebarena::visualwebarena.739::GenericAgent-anthropic_claude-3.7-sonnet,visualwebarena::visualwebarena.739,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.739,GenericAgent-anthropic_claude-3.7-sonnet,dev
visualwebarena::visualwebarena.739::GenericAgent-gpt-4o-2024-11-20,visualwebarena::visualwebarena.739,side_effect,0,1,outer_train,inner_train,5,visualwebarena,visualwebarena,visualwebarena,visualwebarena.739,GenericAgent-gpt-4o-2024-11-20,dev
webarena::webarena.15::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,webarena::webarena.15,side_effect,0,1,outer_train,inner_train,5,webarena,webarena,webarena,webarena.15,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,dev
webarena::webarena.15::GenericAgent-anthropic_claude-3.7-sonnet,webarena::webarena.15,side_effect,0,1,outer_train,inner_train,5,webarena,webarena,webarena,webarena.15,GenericAgent-anthropic_claude-3.7-sonnet,dev
webarena::webarena.15::GenericAgent-gpt-4o-2024-11-20,webarena::webarena.15,side_effect,0,1,outer_train,inner_train,5,webarena,webarena,webarena,webarena.15,GenericAgent-gpt-4o-2024-11-20,dev
webarena::webarena.15::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,webarena::webarena.15,side_effect,0,1,outer_train,inner_train,5,webarena,webarena,webarena,webarena.15,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,dev
