claim_id,manuscript_section,claim_text_template,claim_strength,target,evidence_ids,citation_keys,allowed,required_caveat,forbidden_variant,status
FC1,Abstract; Results; Discussion,Frozen structural signals retain confirmatory Success signal on official held-out tasks/trajectories within evaluated benchmark families.,CONFIRMATORY_SUPPORTED,Success,E_A110_SUCCESS_HELDOUT,,true,frozen structural features; official held-out; evaluated benchmark families,unseen benchmark; arbitrary agents; joint task/model OOD; universal judging; causality,APPROVED_WITH_CAVEAT
FC2,Abstract; Results; Discussion,Frozen structural signals retain confirmatory Looping signal on official held-out tasks/trajectories within evaluated benchmark families.,CONFIRMATORY_SUPPORTED,Looping,E_A110_LOOPING_HELDOUT,,true,frozen structural features; official held-out; evaluated benchmark families,unseen benchmark; arbitrary agents; joint task/model OOD; universal judging; causality,APPROVED_WITH_CAVEAT
FE1,Exploratory Results; Limitations,The frozen dense semantic Side Effect model shows exploratory held-out signal.,EXPLORATORY_SUPPORTED,Side Effect,E_A110_SIDE_EFFECT_HELDOUT,,true,exploratory_only; low-support; not confirmatory,confirmed detector; confirmatory Side Effect claim; general deployment claim,APPROVED_WITH_CAVEAT
FD1,Development Results,"On frozen dev, the Success B2 point estimate exceeds B3 while the paired difference remains uncertain.",DEV_ONLY,Success,E_A13_SUCCESS_B2_MACRO_AP;E_A13_SUCCESS_B3_MACRO_AP;E_A16_P2_SUCCESS_MACRO_AP,,true,point-estimate trend; paired difference uncertain; dev-only,stable or significant superiority; held-out comparative claim,APPROVED_WITH_CAVEAT
FD2,Development Results,Frozen dev evidence shows no clear incremental Success AP gain from B4 over B2/B3.,DEV_ONLY,Success,E_A17_Q2_SUCCESS_MACRO_AP_DELTA;E_A17_Q3_SUCCESS_MACRO_AP_DELTA,,true,no clear incremental AP gain; dev-only,stable dense superiority; official-test comparative claim,APPROVED_WITH_CAVEAT
FD3,Representation Analysis,Dense semantics are superior to lightweight representations.,DEV_ONLY,All,E_A17_Q1_SUCCESS_MACRO_AP_LIFT;E_A17_Q4_SIDE_EFFECT_MACRO_AP;E_A17_Q5_LOOPING_MACRO_AP_DELTA,,false,empirical dev pattern; target-dependent,general superiority or necessity,FORBIDDEN
FD4,Development Ablations,"Success ablation results indicate dev-only predictive dependency, not a causal termination mechanism.",DEV_ONLY,Success,E_A15_SUCCESS_S1_NO_TERMINATION_MACRO_AP;E_A16_P3_SUCCESS_MACRO_AP,,true,predictive dependency only; dev-only,causal or dominant mechanism,APPROVED_WITH_CAVEAT
FD5,Development Ablations,Looping repetition features show a stable dev predictive increment without establishing causality or exclusivity.,DEV_ONLY,Looping,E_A15_LOOPING_S2_NO_REPETITION_MACRO_AP;E_A16_P6_LOOPING_MACRO_AP,,true,stable predictive increment; non-causal; dev-only,complete or causal mechanism,APPROVED_WITH_CAVEAT
FD6,Development Ablations,S6 replaces or is equivalent to the full S0 representation.,DEV_ONLY,Success; Looping,E_A16_P4_SUCCESS_MACRO_AP;E_A16_P7_LOOPING_MACRO_AP,,false,competitive point estimates; no equivalence claim,proven replacement or equivalence,FORBIDDEN
FD7,Development Diagnostics,A1.4 establishes final cross-model or arbitrary-agent generalization.,DEV_ONLY,All,E_A14_SUCCESS_B3_MODEL_MACRO_AP;E_A14_LOOPING_B2_MODEL_MACRO_AP;E_A14_SIDE_EFFECT_B3_MODEL_MACRO_AP,,false,model-only transfer; exploratory; same-task condition,joint task/model OOD or arbitrary-Agent generalization,FORBIDDEN
