objection_id,objection,severity,evidence_ids,evidence_response,status,remaining_vulnerability,publication_impact
OBJ01,"novelty too weak",MAJOR,R0E032;R0E034;R0E035;R0E037;R0E044,"The frozen primary-source audit separates target; unit; access; training role; data; and blind protocol from AgentRewardBench and WebGraphEval.",UNRESOLVED_MAJOR,"Differentiation is narrow and cannot rely on firstness; method novelty; or a cross-paper performance advantage.","A reviewer may judge the package as careful validation rather than a sufficiently new contribution."
OBJ02,method too simple,MODERATE,R0E017;R0E023;R0E027;R0E044,"Simplicity is the studied object and is backed by held-out signal; efficiency; and diagnostic evidence.",PARTIALLY_RESOLVED,"The classifier and features remain technically modest and do not constitute algorithmic novelty.","Requires strong empirical and evaluation framing."
OBJ03,"handcrafted-feature shortcut",MAJOR,R0E004;R0E011;R0E012;R0E025;R0E045,"Identity fields are excluded; feature-group removals and metadata diagnostics expose rather than hide shortcut risks.",PARTIALLY_RESOLVED,"Task difficulty and semantic shortcuts are not independently controlled; metadata retains signal.","Can weaken the interpretation from quality evaluation to morphology correlation."
OBJ04,"construct overlap",MODERATE,R0E002;R0E003;R0E025;R0E026;R0E045,"Official labels; disagreement exclusions; non-causal wording; and morphology-semantic error cases are explicit.",PARTIALLY_RESOLVED,"Outcome; process; morphology; and expert-label constructs are not independently validated.","Limits claims about understanding or mechanism."
OBJ05,"metadata confounding",MAJOR,R0E004;R0E025;R0E029;R0E045;R0E046,"Benchmark/model identifiers are excluded from B2 and a post-freeze grouped metadata-only diagnostic is reported.",PARTIALLY_RESOLVED,"Metadata predicts both targets on dev and B2 is only descriptively higher; confounding is not eliminated.","Requires prominent limitation and restrained interpretation."
OBJ06,"Looping/repetition overlap",MAJOR,R0E011;R0E012;R0E020;R0E026;R0E045,"Frozen ablations show repetition-group dependence and the paper limits this to predictive association.",UNRESOLVED_MAJOR,"Repetition features directly mirror the Looping construct; the strong result may appear tautological rather than a novel evaluator insight.","Threatens the novelty of one of two confirmatory targets."
OBJ07,"Side Effect low support",MODERATE,R0E006;R0E017;R0E019;R0E020;R0E045,"Side Effect is preregistered and retained as exploratory only with exact dev/test support and no confirmatory upgrade.",BOUNDED_BY_LIMITATION,"Only 12 dev positives supported model freezing and thresholded test F1 is weak.","Cannot support a three-dimension confirmatory story."
OBJ08,"no independent external benchmark",MAJOR,R0E009;R0E017;R0E019;R0E029;R0E037;R0E045,"Dev LOBO and blind held-out evidence are reported with an explicit within-family scope boundary.",UNRESOLVED_MAJOR,"No independent dataset or unseen benchmark family is evaluated; the original benchmark-shift framing is therefore only partially realized.","Strong publication bottleneck and likely request for new experiments."
OBJ09,"benchmark heterogeneity",MODERATE,R0E009;R0E012;R0E017;R0E019;R0E045,"Per-family metrics and macro summaries retain all four domains and label heterogeneity as descriptive.",PARTIALLY_RESOLVED,"AssistantBench is substantially weaker and no pairwise inferential tests are preregistered.","Prevents uniform cross-domain claims."
OBJ10,"dense semantics comparison limitations",MODERATE,R0E013;R0E019;R0E029;R0E045,"The frozen B4 comparator uses the same grouped protocol and preserves uncertain AP gains plus a stable Success F1 drop.",PARTIALLY_RESOLVED,"Only one encoder; one pooling design; and one downstream classifier are covered.","Cannot establish a general structure-versus-semantics hierarchy."
OBJ11,"baseline sufficiency",MODERATE,R0E008;R0E009;R0E013;R0E027;R0E028;R0E032,"Local tiers include prevalence; structural; TF-IDF; ablations; and a dense semantic control.",PARTIALLY_RESOLVED,"No protocol-equivalent LLM judge; graph evaluator; or directly comparable published numerical baseline is available.","Reviewer may request stronger contemporary comparators."
OBJ12,"statistical support",MINOR,R0E006;R0E012;R0E017;R0E018;R0E019,"Task-group cluster intervals; invalid-draw accounting; exact verification; and conservative claim grades support the two confirmatory signals.",ADDRESSED_BY_EVIDENCE,"Relative method and benchmark comparisons remain uncertain or descriptive by design.","Core signal claims are statistically defensible if relative claims stay bounded."
OBJ13,"blind-heldout scope",MODERATE,R0E016;R0E017;R0E019;R0E037;R0E045,"Predictions were frozen before labels and confirmatory claims explicitly say official held-out tasks within evaluated families.",BOUNDED_BY_LIMITATION,"Blind held-out does not equal unseen-benchmark or independent external validation.","Must be stated prominently in title; abstract; and discussion."
OBJ14,"cross-paper comparability",MODERATE,R0E032;R0E033;R0E034;R0E035;R0E037;R0E047,"Primary-source audits classify work by properties and prohibit invalid numeric rankings.",BOUNDED_BY_LIMITATION,"DIRECTLY_COMPARABLE is zero; therefore the paper cannot demonstrate a cross-paper performance advantage.","Weakens competitive positioning but protects validity."
OBJ15,"practical relevance",MODERATE,R0E023;R0E024;R0E025;R0E029;R0E044;R0E045,"Environment-qualified cost and failure diagnostics show practical resource and error implications.",PARTIALLY_RESOLVED,"No calibration; selective prediction; online deployment; intervention; or user-impact evaluation exists.","Practical claims must remain diagnostic rather than deployment-ready."
