claim_id,claim_text,status,target,scope,supporting_evidence_ids,contradicting_or_limiting_evidence,allowed_paper_section,required_qualifier,prohibited_extension
FC1,Frozen structural trajectory features retain predictive signal for Success on untouched official held-out tasks/trajectories within the evaluated benchmark families.,CONFIRMATORY_SUPPORTED,Success,official held-out tasks/trajectories within evaluated benchmark families,E_A110_SUCCESS_HELDOUT,"No unseen-benchmark, arbitrary-Agent, joint OOD, or causal evidence.",Abstract; Results; Discussion,frozen structural features; official held-out; evaluated benchmark families,unseen benchmark; arbitrary agents; joint task/model OOD; universal judging; causality
FC2,Frozen structural trajectory features retain strong predictive signal for Looping on untouched official held-out tasks/trajectories within the evaluated benchmark families.,CONFIRMATORY_SUPPORTED,Looping,official held-out tasks/trajectories within evaluated benchmark families,E_A110_LOOPING_HELDOUT,"No unseen-benchmark, arbitrary-Agent, joint OOD, or causal evidence.",Abstract; Results; Discussion,frozen structural features; official held-out; evaluated benchmark families,unseen benchmark; arbitrary agents; joint task/model OOD; universal judging; causality
FE1,The frozen dense semantic Side Effect model showed positive exploratory held-out signal.,EXPLORATORY_SUPPORTED,Side Effect,official held-out tasks/trajectories within evaluated benchmark families,E_A110_SIDE_EFFECT_HELDOUT,"Low dev support, 12 dev positives, and exploratory-only preregistered role.",Exploratory Results; Limitations,exploratory_only; low-support; not confirmatory,confirmed detector; confirmatory Side Effect claim; general deployment claim
FD1,B2 is better than B3 for Success.,DEV_ONLY,Success,frozen official dev protocols,E_A13_SUCCESS_B2_MACRO_AP;E_A13_SUCCESS_B3_MACRO_AP;E_A16_P2_SUCCESS_MACRO_AP,A1.6 paired interval crosses zero.,Development Results,point-estimate trend; paired difference uncertain; dev-only,stable or significant superiority; held-out comparative claim
FD2,B4 is better than B2/B3 for Success.,DEV_ONLY,Success,frozen official dev LOBO,E_A17_Q2_SUCCESS_MACRO_AP_DELTA;E_A17_Q3_SUCCESS_MACRO_AP_DELTA,AP intervals cross zero; B4-B2 macro F1 is a stable drop.,Development Results,no clear incremental AP gain; dev-only,stable dense superiority; official-test comparative claim
FD3,Dense semantics are superior to lightweight representations.,DEV_ONLY,All,A1.7 frozen dev comparisons,E_A17_Q1_SUCCESS_MACRO_AP_LIFT;E_A17_Q4_SIDE_EFFECT_MACRO_AP;E_A17_Q5_LOOPING_MACRO_AP_DELTA,Relative gains are target-dependent and mostly uncertain.,Representation Analysis,empirical dev pattern; target-dependent,general superiority or necessity
FD4,Termination features are the Success mechanism.,DEV_ONLY,Success,A1.5-A1.6 frozen dev ablations,E_A15_SUCCESS_S1_NO_TERMINATION_MACRO_AP;E_A16_P3_SUCCESS_MACRO_AP,Removal effect is uncertain and ablation is non-causal.,Development Ablations,predictive dependency only; dev-only,causal or dominant mechanism
FD5,Repetition features are the Looping mechanism.,DEV_ONLY,Looping,A1.5-A1.6 frozen dev ablations,E_A15_LOOPING_S2_NO_REPETITION_MACRO_AP;E_A16_P6_LOOPING_MACRO_AP,Stable predictive increment does not establish causality or exclusivity.,Development Ablations,stable predictive increment; non-causal; dev-only,complete or causal mechanism
FD6,S6 can replace the full S0 structural representation.,DEV_ONLY,Success; Looping,A1.5-A1.6 frozen dev ablations,E_A16_P4_SUCCESS_MACRO_AP;E_A16_P7_LOOPING_MACRO_AP,Paired intervals are uncertain; equivalence was not tested.,Development Ablations,competitive point estimates; no equivalence claim,proven replacement or equivalence
FD7,A1.4 establishes final cross-model generalization.,DEV_ONLY,All,held-out Agent model with same tasks represented in training,E_A14_SUCCESS_B3_MODEL_MACRO_AP;E_A14_LOOPING_B2_MODEL_MACRO_AP;E_A14_SIDE_EFFECT_B3_MODEL_MACRO_AP,External group-key counterpart rate is 100%; one model has partial coverage.,Development Diagnostics,model-only transfer; exploratory; same-task condition,joint task/model OOD or arbitrary-Agent generalization
