field_path,observed_type,example_value_redacted,presence_count,benchmark,model_name,possible_semantic_role
$,dict,<dict:12>,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$,dict,<dict:12>,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$,dict,<dict:12>,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,unclassified
$,dict,<dict:12>,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$,dict,<dict:12>,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$,dict,<dict:12>,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$,dict,<dict:12>,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$,dict,<dict:12>,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$,dict,<dict:12>,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$,dict,<dict:12>,1,webarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$,dict,<dict:12>,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$,dict,<dict:12>,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$,dict,<dict:12>,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$,dict,<dict:12>,1,workarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$,dict,<dict:12>,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.agent,str,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.agent,str,GenericAgent-anthropic_claude-3.7-sonnet,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.agent,str,GenericAgent-gpt-4o-2024-11-20,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,unclassified
$.agent,str,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.agent,str,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.agent,str,GenericAgent-anthropic_claude-3.7-sonnet,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.agent,str,GenericAgent-gpt-4o-2024-11-20,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$.agent,str,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.agent,str,GenericAgent-anthropic_claude-3.7-sonnet,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.agent,str,GenericAgent-gpt-4o-2024-11-20,1,webarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$.agent,str,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.agent,str,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.agent,str,GenericAgent-anthropic_claude-3.7-sonnet,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
$.agent,str,GenericAgent-gpt-4o-2024-11-20,1,workarena,GenericAgent-gpt-4o-2024-11-20,unclassified
$.agent,str,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,unclassified
$.benchmark,str,assistantbench,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,benchmark_metadata
$.benchmark,str,assistantbench,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,benchmark_metadata
$.benchmark,str,assistantbench,1,assistantbench,GenericAgent-gpt-4o-2024-11-20,benchmark_metadata
$.benchmark,str,assistantbench,1,assistantbench,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,benchmark_metadata
$.benchmark,str,visualwebarena,1,visualwebarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,benchmark_metadata
$.benchmark,str,visualwebarena,1,visualwebarena,GenericAgent-anthropic_claude-3.7-sonnet,benchmark_metadata
$.benchmark,str,visualwebarena,1,visualwebarena,GenericAgent-gpt-4o-2024-11-20,benchmark_metadata
$.benchmark,str,webarena,2,webarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,benchmark_metadata
$.benchmark,str,webarena,1,webarena,GenericAgent-anthropic_claude-3.7-sonnet,benchmark_metadata
$.benchmark,str,webarena,1,webarena,GenericAgent-gpt-4o-2024-11-20,benchmark_metadata
$.benchmark,str,webarena,1,webarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,benchmark_metadata
$.benchmark,str,workarena,1,workarena,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,benchmark_metadata
$.benchmark,str,workarena,1,workarena,GenericAgent-anthropic_claude-3.7-sonnet,benchmark_metadata
$.benchmark,str,workarena,1,workarena,GenericAgent-gpt-4o-2024-11-20,benchmark_metadata
$.benchmark,str,workarena,1,workarena,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,benchmark_metadata
$.experiment,str,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_assistantbench.improved.validation,1,assistantbench,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,unclassified
$.experiment,str,GenericAgent-anthropic_claude-3.7-sonnet_on_assistantbench.improved.validation,1,assistantbench,GenericAgent-anthropic_claude-3.7-sonnet,unclassified
