claim_id,target,claim_short,claim_precise,claim_level,best_supporting_evidence_ids,counterevidence_or_limitation_ids,allowed_wording_cn,allowed_wording_en,forbidden_wording_cn,forbidden_wording_en,paper_section,status,reason
C1,success,Success跨Benchmark结构信号存在,Primary LOBO下，轻量结构特征为Success提供稳定的跨Benchmark预测信号。,core,E_A13_SUCCESS_B2_MACRO_AP;E_A16_P1_SUCCESS_MACRO_AP_LIFT,T1;T5;T9;T10,轻量结构轨迹特征在Primary LOBO下为Success预测提供了稳定的跨Benchmark信号。,Lightweight structural trajectory features provide stable cross-Benchmark signal for Success prediction under Primary LOBO.,结构特征解决了所有Benchmark上的Success预测。,Structural features solve Success prediction across all Benchmarks.,Evidence-Dimension Analysis,SUPPORTED,A1.3 B2跨四域为正；A1.6 P1 macro AP lift 95% CI严格大于0。
C2,success,B2稳定优于B3,B2在Success Primary LOBO上的点估计高于B3，但配对不确定性不足以支持稳定优势。,supporting,E_A13_SUCCESS_B2_MACRO_AP;E_A13_SUCCESS_B3_MACRO_AP,E_A16_P2_SUCCESS_MACRO_AP;E_A16_P2_SUCCESS_MACRO_F1,B2的点估计更高，但配对bootstrap区间跨0。,"B2 had a higher point estimate under Primary LOBO, but the paired bootstrap interval included zero.",B2显著优于B3；B2稳定优于B3。,B2 is significantly or stably better than B3.,Cross-Benchmark Results,INSUFFICIENT_EVIDENCE,A1.6 P2的macro AP与F1配对区间均跨0。
C3,success,Success主要依赖termination,Termination携带预测信息，但删除termination未造成稳定退化。,supporting,E_A15_SUCCESS_S1_NO_TERMINATION_MACRO_AP,E_A16_P3_SUCCESS_MACRO_AP;E_A16_P3_SUCCESS_POOLED_AP;E_A16_P3_SUCCESS_MACRO_F1;T7,Termination携带预测信息，但group-aware bootstrap未显示删除它会稳定降低性能。,"Termination carries predictive information, but removing it did not produce a stable degradation under group-aware bootstrap.",Success主要由termination决定；termination导致Success。,Success is mainly determined or caused by termination.,Structural Ablations,INSUFFICIENT_EVIDENCE,A1.5点估计依赖与A1.6 P3跨0区间必须联合解释，且不得作因果表述。
C4,success,Success三特征表示与full13高度竞争,由termination与两项repetition特征组成的三特征表示在Success上与full13高度竞争，但差异不确定。,supporting,E_A15_SUCCESS_S6_TERMINATION_REPETITION_ONLY_MACRO_AP;E_A16_P4_SUCCESS_MACRO_AP,E_A16_P4_SUCCESS_POOLED_AP;E_A16_P4_SUCCESS_MACRO_F1;T1;T5,三特征表示与完整结构集合高度竞争，但配对差异仍不确定。,A three-feature representation was highly competitive with the full structural set; the paired difference remained uncertain.,三特征与full13等价；已经证明两者一样好。,The three-feature representation is equivalent to or proven as good as full13.,Structural Ablations,SUPPORTED_WITH_CONDITIONS,A1.5 S6点估计接近/高于S0；A1.6 P4的AP/F1配对区间跨0，因此只能写competitive。
C5,success,Success dense semantics有稳定跨Benchmark信号,冻结dense embedding LR在Success Primary LOBO下具有稳定的正macro AP lift。,core,E_A17_SUCCESS_B4_MACRO_AP;E_A17_Q1_SUCCESS_MACRO_AP_LIFT,T1;T5;T8;T9;T10,Dense embedding为Success提供了稳定的跨Benchmark信号。,Frozen dense embeddings provide stable cross-Benchmark signal for Success.,Dense embedding稳定优于所有轻量基线。,Dense embeddings stably outperform all lightweight baselines.,Representation Complexity,SUPPORTED,A1.7 Q1 macro AP lift 95% CI严格大于0。
C6,success,Dense semantics稳定优于B2/B3,Dense embedding有强信号，但没有相对B2/B3的稳定AP增量。,supporting,E_A17_SUCCESS_B4_MACRO_AP,E_A17_Q2_SUCCESS_MACRO_AP_DELTA;E_A17_Q2_SUCCESS_MACRO_F1_DELTA;E_A17_Q3_SUCCESS_MACRO_AP_DELTA;E_A17_Q3_SUCCESS_MACRO_F1_DELTA,Dense embedding产生强跨Benchmark信号，但未显示相对冻结轻量基线的明确AP增量。,Dense embeddings produced strong cross-Benchmark signal but no clear incremental AP gain over frozen lightweight baselines.,Dense embedding稳定优于B2/B3。,Dense embeddings stably outperform B2 and B3.,Representation Complexity,INSUFFICIENT_EVIDENCE,Q2/Q3 AP区间跨0，且Q3 macro F1显示B4相对B2稳定下降。
C7,looping,Looping跨Benchmark结构信号存在,轻量结构特征为Looping提供稳定的跨Benchmark信号。,core,E_A13_LOOPING_B2_MACRO_AP;E_A16_P5_LOOPING_MACRO_AP_LIFT,T1;T5;T7;T9;T10,轻量结构特征为Looping提供了稳定的跨Benchmark信号。,Lightweight structural trajectory features provide stable cross-Benchmark signal for Looping.,Looping结构模型对所有数据都已解决。,The structural model solves Looping on all data.,Evidence-Dimension Analysis,SUPPORTED,A1.3 B2在四域保持强信号；A1.6 P5 macro AP lift区间严格大于0。
C8,looping,Repetition特征有稳定增量,删除直接repetition特征使Looping macro AP稳定下降，但剩余结构模型仍然很强。,core,E_A15_LOOPING_S2_NO_REPETITION_MACRO_AP;E_A16_P6_LOOPING_MACRO_AP,E_A15_LOOPING_S6_TERMINATION_REPETITION_ONLY_MACRO_AP;T7,直接repetition特征具有稳定增量；删除后剩余结构模型仍然很强。,"Direct repetition features add stable incremental value, while the remaining structural model stays strong after their removal.",Looping完全由重复特征决定。,Looping is entirely determined by repetition features.,Structural Ablations,SUPPORTED,A1.6 P6 macro AP差值区间严格小于0，但S2本身仍保留高macro AP。
C9,looping,Dense semantics对Looping必要,现有证据未显示dense semantics相对B2增加Looping跨Benchmark价值。,supporting,E_A17_LOOPING_B4_MACRO_AP,E_A17_Q5_LOOPING_MACRO_AP_DELTA;E_A13_LOOPING_B2_MACRO_AP,没有发现dense semantic表示相对轻量结构基线增加Looping跨Benchmark价值的明确证据。,No clear evidence was found that dense semantic representations add cross-Benchmark value over the lightweight structural baseline for Looping.,复杂语义表示对Looping是必要的。,Dense semantic representations are necessary for Looping.,Representation Complexity,INSUFFICIENT_EVIDENCE,A1.7 Q5 B4-B2 macro AP区间跨0，点估计为负。
C10,side_effect,Side Effect结构信号robust,现有Primary LOBO结构证据不支持Side Effect robust跨Benchmark预测。,limitation,E_A13_SIDE_EFFECT_B2_MACRO_AP;E_A15_SIDE_EFFECT_S0_FULL13_MACRO_AP,T2;T3;T5,现有结构证据未建立Side Effect的robust跨Benchmark预测。,Current structural evidence does not establish robust cross-Benchmark Side Effect prediction.,Side Effect结构信号robust；Side Effect已由结构特征解决。,Side Effect has a robust structural signal or is solved by structural features.,Limitations,PROHIBITED,A1.3/A1.5 B2/S0 AP lift非正且支持稀疏，不能升级为robust claim。
