protocol,trajectory_key,target,label,held_out_model,role,inner_fold,inner_n_splits,benchmark_group_primary,benchmark_group_secondary,group_key,model_name
leave_one_model_out,assistantbench::assistantbench.validation.11::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,1,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.11,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
leave_one_model_out,assistantbench::assistantbench.validation.11::GenericAgent-anthropic_claude-3.7-sonnet,success,0,GenericAgent-anthropic_claude-3.7-sonnet,external_validation,,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.11,GenericAgent-anthropic_claude-3.7-sonnet
leave_one_model_out,assistantbench::assistantbench.validation.11::GenericAgent-gpt-4o-2024-11-20,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,1,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.11,GenericAgent-gpt-4o-2024-11-20
leave_one_model_out,assistantbench::assistantbench.validation.11::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,1,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.11,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
leave_one_model_out,assistantbench::assistantbench.validation.25::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,1,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.25,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
leave_one_model_out,assistantbench::assistantbench.validation.25::GenericAgent-anthropic_claude-3.7-sonnet,success,0,GenericAgent-anthropic_claude-3.7-sonnet,external_validation,,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.25,GenericAgent-anthropic_claude-3.7-sonnet
leave_one_model_out,assistantbench::assistantbench.validation.25::GenericAgent-gpt-4o-2024-11-20,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,1,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.25,GenericAgent-gpt-4o-2024-11-20
leave_one_model_out,assistantbench::assistantbench.validation.25::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,1,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.25,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
leave_one_model_out,assistantbench::assistantbench.validation.31::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,5,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.31,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
leave_one_model_out,assistantbench::assistantbench.validation.31::GenericAgent-anthropic_claude-3.7-sonnet,success,0,GenericAgent-anthropic_claude-3.7-sonnet,external_validation,,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.31,GenericAgent-anthropic_claude-3.7-sonnet
leave_one_model_out,assistantbench::assistantbench.validation.31::GenericAgent-gpt-4o-2024-11-20,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,5,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.31,GenericAgent-gpt-4o-2024-11-20
leave_one_model_out,assistantbench::assistantbench.validation.31::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,5,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.31,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
leave_one_model_out,assistantbench::assistantbench.validation.3::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,1,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.3,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct
leave_one_model_out,assistantbench::assistantbench.validation.3::GenericAgent-anthropic_claude-3.7-sonnet,success,0,GenericAgent-anthropic_claude-3.7-sonnet,external_validation,,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.3,GenericAgent-anthropic_claude-3.7-sonnet
leave_one_model_out,assistantbench::assistantbench.validation.3::GenericAgent-gpt-4o-2024-11-20,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,1,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.3,GenericAgent-gpt-4o-2024-11-20
leave_one_model_out,assistantbench::assistantbench.validation.3::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,success,0,GenericAgent-anthropic_claude-3.7-sonnet,train,1,5,assistantbench,assistantbench,assistantbench::assistantbench.validation.3,GenericAgent-meta-llama_Llama-3.3-70B-Instruct
