method_id,method_name,tier,representation_type,feature_or_embedding_dim,classifier_or_evaluator,semantic_encoder,dev_evaluated,grouped_cv,lobo_evaluated,leave_one_model_out,ablation_role,uncertainty_available,official_test_role,final_method_role,target_scope,evidence_status,source_stage,source_artifact,paper_role,needs_literature_verification,notes
B0,majority,Tier 0 — trivial / minimal control,constant most-frequent label control,0,DummyClassifier,none,true,true,true,true,minimal control,false,none,control only,Success;Side Effect;Looping,DEV_ONLY,A1.1–A1.4,configs/baseline_registry.yaml;artifacts/a1_2_pooled_metrics.csv;artifacts/a1_3_lobo_pooled_metrics.csv;artifacts/a1_4_lomo_pooled_metrics.csv,baseline context,false,Training-fold most-frequent DummyClassifier control.
B1,training_prior,Tier 0 — trivial / minimal control,training prevalence probability control,0,DummyClassifier,none,true,true,true,true,minimal probabilistic control,false,none,control only,Success;Side Effect;Looping,DEV_ONLY,A1.1–A1.4,configs/baseline_registry.yaml;artifacts/a1_2_pooled_metrics.csv;artifacts/a1_3_lobo_pooled_metrics.csv;artifacts/a1_4_lomo_pooled_metrics.csv,baseline context,false,Training-prior DummyClassifier control.
B2,leak_safe_structural_logistic_regression,Tier 1 — lightweight structural,task-agnostic structural trajectory features,13,standardized LogisticRegression,none,true,true,true,true,full structural baseline,true,Success and Looping confirmatory,FINAL_SUCCESS_B2;FINAL_LOOPING_B2,Success;Side Effect;Looping,CONFIRMATORY_SUPPORTED_FOR_SUCCESS_AND_LOOPING,A1.1–A1.11,configs/stage_a1_2_execution.yaml;artifacts/a1_11_table_main_test_results.csv,primary lightweight method,false,Thirteen frozen structural features; target-specific frozen LR models.
B3,tfidf_logistic_regression,Tier 2 — alternative lightweight / text,TF-IDF word unigram or unigram-bigram text,up to 20000,TfidfVectorizer + LogisticRegression,none,true,true,true,true,alternative sparse text representation,true,none,not selected,Success;Side Effect;Looping,DEV_ONLY,A1.1–A1.6,configs/baseline_registry.yaml;artifacts/a1_6_primary_paired_delta_summary.csv,sparse text comparator,false,Vocabulary and classifier selection remained inside training/validation data.
B4,B4_dense_embedding_lr,Tier 3 — dense semantic,frozen dense trajectory embedding,1024,LogisticRegression,Qwen/Qwen3-Embedding-0.6B@97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,true,true,true,false,dense semantic complexity control,true,Side Effect exploratory,FINAL_SIDE_EFFECT_B4,Success;Side Effect;Looping,DEV_ONLY;EXPLORATORY_SUPPORTED_FOR_SIDE_EFFECT,A1.7–A1.11,configs/stage_a1_7_dense_semantic.yaml;artifacts/a1_7_bootstrap_primary_summary.csv;artifacts/a1_11_table_main_test_results.csv,dense semantic comparator,false,"Frozen encoder, no fine-tuning, one shared benchmark-blind embedding matrix."
S0,S0_full13,Tier 1 — lightweight structural,structural feature-group ablation,13,standardized LogisticRegression,none,true,true,true,false,reference,partial_registered_comparisons,none,not selected,Success;Side Effect;Looping,DEV_ONLY,A1.5–A1.6,artifacts/a1_5_feature_group_registry.csv;artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,structural interpretation / ablation,false,Included frozen groups: G1_activity_volume;G2_error;G3_termination;G4_repetition.
S1,S1_no_termination,Tier 1 — lightweight structural,structural feature-group ablation,12,standardized LogisticRegression,none,true,true,true,false,remove G3 termination,false,none,not selected,Success;Side Effect;Looping,DEV_ONLY,A1.5–A1.6,artifacts/a1_5_feature_group_registry.csv;artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,structural interpretation / ablation,false,Included frozen groups: G1_activity_volume;G2_error;G4_repetition.
S2,S2_no_repetition,Tier 1 — lightweight structural,structural feature-group ablation,11,standardized LogisticRegression,none,true,true,true,false,remove G4 repetition,partial_registered_comparisons,none,not selected,Success;Side Effect;Looping,DEV_ONLY,A1.5–A1.6,artifacts/a1_5_feature_group_registry.csv;artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,structural interpretation / ablation,false,Included frozen groups: G1_activity_volume;G2_error;G3_termination.
S3,S3_no_activity_volume,Tier 1 — lightweight structural,structural feature-group ablation,5,standardized LogisticRegression,none,true,true,true,false,remove G1 activity/volume,false,none,not selected,Success;Side Effect;Looping,DEV_ONLY,A1.5–A1.6,artifacts/a1_5_feature_group_registry.csv;artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,structural interpretation / ablation,false,Included frozen groups: G2_error;G3_termination;G4_repetition.
S4,S4_no_error,Tier 1 — lightweight structural,structural feature-group ablation,11,standardized LogisticRegression,none,true,true,true,false,remove G2 error,false,none,not selected,Success;Side Effect;Looping,DEV_ONLY,A1.5–A1.6,artifacts/a1_5_feature_group_registry.csv;artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,structural interpretation / ablation,false,Included frozen groups: G1_activity_volume;G3_termination;G4_repetition.
S5,S5_no_termination_or_repetition,Tier 1 — lightweight structural,structural feature-group ablation,10,standardized LogisticRegression,none,true,true,true,false,remove G3 and G4,false,none,not selected,Success;Side Effect;Looping,DEV_ONLY,A1.5–A1.6,artifacts/a1_5_feature_group_registry.csv;artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,structural interpretation / ablation,false,Included frozen groups: G1_activity_volume;G2_error.
S6,S6_termination_repetition_only,Tier 1 — lightweight structural,structural feature-group ablation,3,standardized LogisticRegression,none,true,true,true,false,sufficiency-only restricted representation,partial_registered_comparisons,none,not selected,Success;Side Effect;Looping,DEV_ONLY,A1.5–A1.6,artifacts/a1_5_feature_group_registry.csv;artifacts/a1_5_structural_ablation_deltas.csv;artifacts/a1_6_primary_paired_delta_summary.csv,structural interpretation / ablation,false,Included frozen groups: G3_termination;G4_repetition.
T4_WEB_SHEPHERD,Web-Shepherd,Tier 4 — published external evaluator context,not locally verified,NA,not locally verified,not locally verified,false,false,false,false,literature context only,not locally verified,none; not head-to-head,none,not locally verified,NEEDS_LITERATURE_VERIFICATION,Research charter reference entry,research/00_RESEARCH_CHARTER.md,discussion-only literature context,true,Citation entry only (https://arxiv.org/abs/2505.15277); no method definition or performance number is asserted.
T4_AGENT_REWARDBENCH,Agent-RewardBench,Tier 4 — published external evaluator context,not locally verified,NA,not locally verified,not locally verified,false,false,false,false,literature context only,not locally verified,none; not head-to-head,none,not locally verified,NEEDS_LITERATURE_VERIFICATION,Research charter reference entry,research/00_RESEARCH_CHARTER.md,discussion-only literature context,true,Citation entry only (https://aclanthology.org/2025.acl-long.857/); no method definition or performance number is asserted.
T4_AGENTRM,AgentRM,Tier 4 — published external evaluator context,not locally verified,NA,not locally verified,not locally verified,false,false,false,false,literature context only,not locally verified,none; not head-to-head,none,not locally verified,NEEDS_LITERATURE_VERIFICATION,Research charter reference entry,research/00_RESEARCH_CHARTER.md,discussion-only literature context,true,Citation entry only (https://aclanthology.org/2025.acl-long.945/); no method definition or performance number is asserted.
