evidence_id,claim_or_result,target,source_stage,source_artifact,evidence_status,recommended_location,recommended_table_or_figure,allowed_wording,forbidden_wording,reason
FC1,Frozen structural trajectory features retain predictive signal for Success on untouched official held-out tasks/trajectories within the evaluated benchmark families.,Success,A1.11,artifacts/a1_11_final_claim_matrix.csv,CONFIRMATORY_SUPPORTED,MAIN_TEXT,Table 1;Figure 2,frozen structural features; official held-out; evaluated benchmark families,unseen benchmark; arbitrary agents; joint task/model OOD; universal judging; causality,Frozen supported claim with its required qualifier.
FC2,Frozen structural trajectory features retain strong predictive signal for Looping on untouched official held-out tasks/trajectories within the evaluated benchmark families.,Looping,A1.11,artifacts/a1_11_final_claim_matrix.csv,CONFIRMATORY_SUPPORTED,MAIN_TEXT,Table 1;Figure 2,frozen structural features; official held-out; evaluated benchmark families,unseen benchmark; arbitrary agents; joint task/model OOD; universal judging; causality,Frozen supported claim with its required qualifier.
FE1,The frozen dense semantic Side Effect model showed positive exploratory held-out signal.,Side Effect,A1.11,artifacts/a1_11_final_claim_matrix.csv,EXPLORATORY_SUPPORTED,MAIN_TEXT,Table 1;Figure 2,exploratory_only; low-support; not confirmatory,confirmed detector; confirmatory Side Effect claim; general deployment claim,Frozen supported claim with its required qualifier.
FD1,B2 is better than B3 for Success.,Success,A1.11,artifacts/a1_11_final_claim_matrix.csv,DEV_ONLY,DISCUSSION_ONLY,Table 3;Figure 4,point-estimate trend; paired difference uncertain; dev-only,stable or significant superiority; held-out comparative claim,Frozen supported claim with its required qualifier.
FD2,B4 is better than B2/B3 for Success.,Success,A1.11,artifacts/a1_11_final_claim_matrix.csv,DEV_ONLY,DISCUSSION_ONLY,Table 3;Figure 4,no clear incremental AP gain; dev-only,stable dense superiority; official-test comparative claim,Frozen supported claim with its required qualifier.
FD3,Dense semantics are superior to lightweight representations.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,DEV_ONLY,DO_NOT_USE,Table 3;Figure 4,empirical dev pattern; target-dependent,general superiority or necessity,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
FD4,Termination features are the Success mechanism.,Success,A1.11,artifacts/a1_11_final_claim_matrix.csv,DEV_ONLY,DISCUSSION_ONLY,Table 3;Figure 4,predictive dependency only; dev-only,causal or dominant mechanism,Frozen supported claim with its required qualifier.
FD5,Repetition features are the Looping mechanism.,Looping,A1.11,artifacts/a1_11_final_claim_matrix.csv,DEV_ONLY,DISCUSSION_ONLY,Table 3;Figure 4,stable predictive increment; non-causal; dev-only,complete or causal mechanism,Frozen supported claim with its required qualifier.
FD6,S6 can replace the full S0 structural representation.,Success; Looping,A1.11,artifacts/a1_11_final_claim_matrix.csv,DEV_ONLY,DO_NOT_USE,Table 3;Figure 4,competitive point estimates; no equivalence claim,proven replacement or equivalence,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
FD7,A1.4 establishes final cross-model generalization.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,DEV_ONLY,DO_NOT_USE,Table 3;Figure 4,model-only transfer; exploratory; same-task condition,joint task/model OOD or arbitrary-Agent generalization,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
FD8,A universal model-complexity hierarchy is established.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,DEV_ONLY,DO_NOT_USE,Table 3;Figure 4,no clear uniform hierarchy; dev-only,simple or complex models universally superior,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
FD9,A fixed cross-dimension representation hierarchy is established.,All,A1.11,artifacts/a1_11_final_claim_matrix.csv,DEV_ONLY,DO_NOT_USE,Table 3;Figure 4,different empirical relationships; no fixed hierarchy,universal information hierarchy or causal theory,"Frozen unsupported, dev-only overextension, or prohibited claim; retain only as a boundary."
DH1,Success performance varies across the four evaluated benchmark families.,Success,A1.11,artifacts/a1_11_final_claim_matrix.csv,DESCRIPTIVE_ONLY,APPENDIX,Table 4;Figure 5,descriptive heterogeneity only,Benchmark A significantly outperforms Benchmark B,Frozen supported claim with its required qualifier.
DH2,Looping performance varies across the four evaluated benchmark families.,Looping,A1.11,artifacts/a1_11_final_claim_matrix.csv,DESCRIPTIVE_ONLY,APPENDIX,Table 4;Figure 5,descriptive heterogeneity only,Benchmark A significantly outperforms Benchmark B,Frozen supported claim with its required qualifier.
