attack_id,reviewer_challenge,current_evidence_response,remaining_weakness,needs_new_experiment
R1,196 trajectories are too few.,"The protocol groups 51 tasks, uses four-domain LOBO, preserves per-domain results, and applies task-cluster bootstrap.",Small data and four domains limit precision and external validity.,no; disclose limitation and use confirmatory test only after freeze
R2,"Side Effect has only 12 positives, so its conclusion is unreliable.",Agreed for strong claims: all Side Effect evidence is diagnostic/descriptive and the final role is exploratory-only.,No current statistic can create missing positive support.,no; lower paper role rather than extend dev indefinitely
R3,Looping features leak the label definition.,"No-repetition ablation stays strong, while P6 shows a stable but limited repetition increment; full dependence is rejected.",Repetition remains construct-adjacent and cannot be treated as a causal mechanism.,no for current bounded claim
R4,LOMO is not true OOD because the same tasks appear in training.,Correct; A1.4 is explicitly model-only with 100% task counterparts and supports only conditional cross-model transfer.,Joint task-model OOD remains unanswered.,no for current model-only claim
R5,Why not use a larger LLM Judge?,"The research question is lightweight, interpretable evidence under Benchmark shift; paid/large Judge methods are outside the preregistered scope.",The work does not claim superiority over large LLM Judges.,no; out of scope
R6,Why did B4 not stably beat B2?,"Q2/Q3 show uncertain AP increments and Q3 shows a stable Success macro-F1 drop, so complexity alone is not uniformly beneficial.",Only one dense encoder and one pooling design were frozen.,no; this negative result is part of the contribution
R7,Are results only Benchmark/model identity shortcuts?,Identity fields are excluded from frozen inputs; Primary LOBO holds out full Benchmark groups; model-literal injection audit is zero.,Natural text can still contain domain-specific content and LOMO shares tasks.,no for freeze decision; preserve as limitation
R8,Why compare pooled AP across held-out models?,Pooled metrics are secondary; primary cross-model interpretation uses per-model and macro results because probability scales may differ.,Cross-model probability calibration is not established.,no; do not elevate pooled AP
R9,Why not tune on test?,Test tuning would invalidate confirmatory evidence; configs and thresholds are selected only inside development training folds and must be frozen before test.,Final confirmatory performance is not yet known.,no; test remains sealed pending human freeze approval
R10,Chunk pooling may lose information in trajectories up to 160k tokens.,"A1.7 uses no truncation, deterministic non-overlap chunks, last-EOS pooling, and payload-weighted normalization.",Cross-chunk interactions are approximated rather than jointly encoded.,no for the frozen B4 complexity-control interpretation
