query,date,source,candidate,included_or_excluded,reason
"AgentRewardBench Evaluating Automatic Evaluations of Web Agent Trajectories","2026-08-14","official OpenReview; official arXiv; official repository","AgentRewardBench","MANDATORY_INCLUDED","Mandatory Tier-4 identity, dataset, split, targets, judge role, and result locations verified."
"Web-Shepherd Advancing PRMs for Reinforcing Web Agents","2026-08-14","official NeurIPS proceedings; official arXiv; official repository","Web-Shepherd","MANDATORY_INCLUDED","Mandatory Tier-4 step PRM, modalities, metrics, training, and reward-guided search verified."
"AgentRM Enhancing Agent Generalization with Reward Modeling","2026-08-14","official ACL Anthology; official repository","AgentRM","MANDATORY_INCLUDED","Mandatory Tier-4 reward model, task scope, training, and test-time search verified."
"Agent-as-a-Judge Evaluate Agents with Agents","2026-08-14","official PMLR; official arXiv; official repository","Agent-as-a-Judge","INCLUDED","Included as agentic full-task evaluator; different code domain and information access make it context only."
"AgentPRM step-wise promise progress","2026-08-14","official arXiv","AgentPRM","REVIEWED_NOT_INCLUDED","Meets conceptual relevance but displaced from the five-work paper-facing set by closer trajectory/outcome and multidimensional evaluation works."
"ToolPRMBench process reward models tool-using agents","2026-08-14","official arXiv","ToolPRMBench","REVIEWED_NOT_INCLUDED","Verified as tool-use step-preference benchmark; less close to full web-trajectory outcome evaluation."
"WebArbiter principle-guided process reward web agents","2026-08-14","official arXiv","WebArbiter","INCLUDED","Included as the closest recent web-specific process reward model and reward-guided search work."
"AgentProcessBench step-level process quality tool-using agents","2026-08-14","official arXiv with ACM venue/DOI; official repository","AgentProcessBench","INCLUDED","Included for human step labels, error propagation, and direct conceptual relevance to process-failure evaluation."
"computer-use agent reward benchmark trajectory outcome process reward 2025 2026","2026-08-14","official OpenReview; official arXiv; official repository","CUARewardBench","INCLUDED","Closer trajectory-outcome and side-effect analogue; official-version result drift is explicitly version-qualified."
"multidimensional step-wise reward models virtual agents 2025","2026-08-14","official PMLR; official arXiv; official repository","Similar","INCLUDED","Included as a multidimensional step-reward analogue covering odds of success, efficiency, relevance, and coherence."
"web agent trajectory evaluator reward model benchmark 2024 2025 2026","2026-08-14","official proceedings/arXiv discovery scan","","STOPPING_RULE","Seven recent candidates reviewed and five included; mandatory three verified; no new work changed the conservative THIS_WORK positioning."
"site:arxiv.org web agent trajectory process reward evaluation 2026","2026-08-14","discovery search followed by primary-source verification","","STOPPING_RULE","Search expansion stopped at the preregistered cap; this registry is not an exhaustive survey."
