work_id,result_id,claim_type,verbatim_location,paraphrased_result,metric,value,dataset,split,evaluation_unit,scope,comparability_class,allowed_use,forbidden_use,primary_source_identifier
"agentrewardbench","ARB-R1","dataset_fact","Abstract; Section 2","AgentRewardBench contains 1302 expert-reviewed trajectories and 3906 binary labels over success, side effects, and repetition.","count","1302 trajectories; 3906 labels","AgentRewardBench","196 dev; 1106 test","trajectory-dimension label","benchmark composition","PARTIALLY_COMPARABLE","dataset provenance and relationship context","independent external-validation claim or cross-paper performance ranking","OpenReview:fQcUZMPIvu; arXiv:2504.08942v2"
"agentrewardbench","ARB-R2","evaluation_finding","Section 4; Tables 1-3","Across the evaluated LLM judges, no single judge is consistently best for all three dimensions.","precision/recall/F1","not a single scalar","AgentRewardBench","official dev/test evaluation","judge by trajectory dimension","LLM-judge evaluation","PARTIALLY_COMPARABLE","motivate heterogeneous evaluation behavior","claim THIS_WORK numerically outperforms LLM judges","OpenReview:fQcUZMPIvu"
"web_shepherd","WS-R1","benchmark_result","Table 1","Web-Shepherd 8B text reports 97.8 MRR and 85.0 trajectory accuracy on the WebArena subset of WebRewardBench.","MRR; trajectory accuracy","97.8; 85.0","WebRewardBench/WebArena","test","step preferences aggregated to trajectory","process reward evaluation","CONTEXT_ONLY","contextual description of PRM evaluation","numeric head-to-head with THIS_WORK","NeurIPS:5bac36213824c6e0b0a173df8e2276a6"
"web_shepherd","WS-R2","test_time_result","Table 2","Reward-guided search with Web-Shepherd 8B raises WebArena-Lite task success from 23.64 to 34.55 in the reported setting.","success rate","23.64 to 34.55; +10.90","WebArena-Lite","reported evaluation","task execution","test-time guided search","CONTEXT_ONLY","contextual test-time-use comparison","numeric head-to-head with THIS_WORK","NeurIPS:5bac36213824c6e0b0a173df8e2276a6"
"agentrm","ARM-R1","test_time_result","Section 3; Table 1 page 4","The explicit AgentRM with Best-of-5 reports a nine-task average of 61.5 versus 52.7 for greedy decoding.","average task score","61.5 versus 52.7; +8.8","nine mixed agent tasks","held-in and held-out task suites","generated trajectory candidate","test-time selection","CONTEXT_ONLY","explain reward-model search role","numeric head-to-head with THIS_WORK","ACL Anthology:2025.acl-long.945"
"agentrm","ARM-R2","scope_fact","Section 3; Table 1 page 4","AgentRM evaluates three held-in and six held-out tasks spanning web, embodied, text-game, planning, maze, and tool-use settings.","task count","3 held-in; 6 held-out","nine mixed agent tasks","held-in/held-out by task","task environment","generalization scope","CONTEXT_ONLY","scope and taxonomy context","unseen web-benchmark generalization attribution to THIS_WORK or numeric head-to-head","ACL Anthology:2025.acl-long.945"
"agent_as_a_judge","AAJ-R1","dataset_fact","Abstract","DevAI has 55 tasks and 365 hierarchical user requirements for code-agent evaluation.","count","55 tasks; 365 requirements","DevAI","reported benchmark","requirement/task","benchmark composition","CONTEXT_ONLY","agent-evaluator taxonomy context","numeric head-to-head with THIS_WORK","PMLR:v267/zhuge25a"
"agent_as_a_judge","AAJ-R2","evaluation_result","Section 4.2; Table 3","For the OpenHands black-box setting, Agent-as-a-Judge reports 90.44 percent alignment with human consensus versus 60.38 percent for an LLM-as-judge baseline.","human-consensus alignment","90.44% versus 60.38%","DevAI","black-box OpenHands setting","task evaluation","agentic judge evaluation","CONTEXT_ONLY","contextual evidence that judge access changes evaluation","numeric head-to-head with THIS_WORK","PMLR:v267/zhuge25a"
"agentprm","APRM-R1","method_result","Abstract; Table 1","The reported 3B AgentPRM configuration improves WebShop success by more than 20 percentage points over the stated process-value baseline.","task success rate","greater than 20 percentage points","WebShop","reported search setting","task rollout","process-reward guided search","CONTEXT_ONLY","bounded-scan context only","numeric head-to-head with THIS_WORK","arXiv:2511.08325v1"
"agentprm","APRM-R2","efficiency_result","Abstract","The paper reports more than eightfold compute efficiency for its process-reward approach in the compared search regime.","compute efficiency",">8x","reported agent tasks","reported search regime","search procedure","process-reward guided search","CONTEXT_ONLY","bounded-scan context only","numeric head-to-head or efficiency comparison with THIS_WORK","arXiv:2511.08325v1"
