evidence_id,source_stage,source_artifact,source_row_or_claim_id,target,evidence_type,evidence_status,exact_value,display_value,allowed_sections,primary_or_secondary,allowed_wording,forbidden_wording,table_id,figure_id,citation_keys,limitations_required,verified
E_PROV_A01,A0.1,artifacts/metadata_audit.json,stage_determination,all,DATA_CONTRACT,INTEGRITY_ONLY,PASS_WITH_DOCUMENTED_LIMITATIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_DOCUMENTED_LIMITATIONS; taskbook=docs/tasks/STAGE_A0_1_DATA_CONTRACT.md; report=docs/data_contract.md; preregistration_commit=49f7d7c7d6c83f23ff8d6a5a68c671a0d3687177; result_commit=49f7d7c7d6c83f23ff8d6a5a68c671a0d3687177; fix_commits=none; conclusion=Fixed-source data and label contract established.; warnings=No standard license identifier; duplicate annotations and WorkArena namespaces documented.,scientific claim upgrade,,,,determination=PASS_WITH_DOCUMENTED_LIMITATIONS; taskbook=docs/tasks/STAGE_A0_1_DATA_CONTRACT.md; report=docs/data_contract.md; preregistration_commit=49f7d7c7d6c83f23ff8d6a5a68c671a0d3687177; result_commit=49f7d7c7d6c83f23ff8d6a5a68c671a0d3687177; fix_commits=none; conclusion=Fixed-source data and label contract established.; warnings=No standard license identifier; duplicate annotations and WorkArena namespaces documented.,true
E_PROV_A02,A0.2,artifacts/analysis_index_summary.json,stage_determination,all,DATA_CONTRACT,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,"provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A0_2_ANALYSIS_INDEX.md; report=docs/analysis_unit_policy.md; preregistration_commit=70f11b75a3ec21efd40df632c39e96af80f5f724; result_commit=70f11b75a3ec21efd40df632c39e96af80f5f724; fix_commits=60296babe21a7c91c5ca52a3da2780f3ee859b9f; conclusion=Trajectory key, consensus policy, and benchmark group fields frozen.; warnings=Official primary label retained audit-only; WorkArena L1/L2 sensitivity required.",scientific claim upgrade,,,,"determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A0_2_ANALYSIS_INDEX.md; report=docs/analysis_unit_policy.md; preregistration_commit=70f11b75a3ec21efd40df632c39e96af80f5f724; result_commit=70f11b75a3ec21efd40df632c39e96af80f5f724; fix_commits=60296babe21a7c91c5ca52a3da2780f3ee859b9f; conclusion=Trajectory key, consensus policy, and benchmark group fields frozen.; warnings=Official primary label retained audit-only; WorkArena L1/L2 sensitivity required.",true
E_PROV_A02_Fix,A0.2-Fix,artifacts/analysis_index_summary.json,stage_determination,all,DATA_CONTRACT,INTEGRITY_ONLY,PASS,,Methods;Appendix,secondary,provenance; determination=PASS; taskbook=docs/tasks/STAGE_A0_2_FIX_LABEL_ELIGIBILITY.md; report=docs/analysis_unit_policy.md; preregistration_commit=60296babe21a7c91c5ca52a3da2780f3ee859b9f; result_commit=60296babe21a7c91c5ca52a3da2780f3ee859b9f; fix_commits=none; conclusion=Consensus-only main eligibility enforced.; warnings=Disagreement and Unsure labels remain unavailable for main analysis.,scientific claim upgrade,,,,determination=PASS; taskbook=docs/tasks/STAGE_A0_2_FIX_LABEL_ELIGIBILITY.md; report=docs/analysis_unit_policy.md; preregistration_commit=60296babe21a7c91c5ca52a3da2780f3ee859b9f; result_commit=60296babe21a7c91c5ca52a3da2780f3ee859b9f; fix_commits=none; conclusion=Consensus-only main eligibility enforced.; warnings=Disagreement and Unsure labels remain unavailable for main analysis.,true
E_PROV_A03,A0.3,artifacts/trajectory_probe_summary.json,stage_determination,all,DATA_CONTRACT,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A0_3_MINIMAL_TRAJECTORY_PROBE.md; report=docs/trajectory_schema_probe.md; preregistration_commit=c8fa3cde43e92de8069ab8dd6a6f41f975297651; result_commit=c8fa3cde43e92de8069ab8dd6a6f41f975297651; fix_commits=none; conclusion=Shared text/structured adapter feasible after leakage exclusions.; warnings=Probe-only scope; screenshots referenced but not required for minimal text path.,scientific claim upgrade,,,,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A0_3_MINIMAL_TRAJECTORY_PROBE.md; report=docs/trajectory_schema_probe.md; preregistration_commit=c8fa3cde43e92de8069ab8dd6a6f41f975297651; result_commit=c8fa3cde43e92de8069ab8dd6a6f41f975297651; fix_commits=none; conclusion=Shared text/structured adapter feasible after leakage exclusions.; warnings=Probe-only scope; screenshots referenced but not required for minimal text path.,true
E_PROV_A04,A0.4,artifacts/input_contract_summary.json,stage_determination,all,DATA_CONTRACT,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A0_4_INPUT_CONTRACT.md; report=docs/input_contract.md; preregistration_commit=e302dfc2b159f295e6e3a17243fbb6c490bd5d15; result_commit=e302dfc2b159f295e6e3a17243fbb6c490bd5d15; fix_commits=none; conclusion=Leak-safe input whitelist and serialization views frozen.; warnings=Reasoning view sensitivity-only; identity and direct leakage fields excluded.,scientific claim upgrade,,,,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A0_4_INPUT_CONTRACT.md; report=docs/input_contract.md; preregistration_commit=e302dfc2b159f295e6e3a17243fbb6c490bd5d15; result_commit=e302dfc2b159f295e6e3a17243fbb6c490bd5d15; fix_commits=none; conclusion=Leak-safe input whitelist and serialization views frozen.; warnings=Reasoning view sensitivity-only; identity and direct leakage fields excluded.,true
E_PROV_A10,A1.0,artifacts/dev_corpus_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_0_BUILD_DEV_CORPUS.md; report=docs/dev_corpus_build_report.md; preregistration_commit=695750f6011e307324a4b483117bcd5010653260; result_commit=695750f6011e307324a4b483117bcd5010653260; fix_commits=none; conclusion=Full dev corpus built under the frozen leak-safe contract.; warnings=Baseline readiness remained subject to human review.,scientific claim upgrade,,,,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_0_BUILD_DEV_CORPUS.md; report=docs/dev_corpus_build_report.md; preregistration_commit=695750f6011e307324a4b483117bcd5010653260; result_commit=695750f6011e307324a4b483117bcd5010653260; fix_commits=none; conclusion=Full dev corpus built under the frozen leak-safe contract.; warnings=Baseline readiness remained subject to human review.,true
E_PROV_A11,A1.1,artifacts/pre_baseline_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,"provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_1_FREEZE_EVALUATION_PROTOCOL.md; report=docs/pre_baseline_audit_report.md; preregistration_commit=1044cb783dc0d7883b9065393b3e7147dafad34b; result_commit=1044cb783dc0d7883b9065393b3e7147dafad34b; fix_commits=49bba3279f356c779a0bfe93e8d31c5319009102; conclusion=Grouped CV, LOBO, inner selection, and NA policies frozen.; warnings=Side Effect single-class holdouts must remain NA where applicable.",scientific claim upgrade,,,,"determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_1_FREEZE_EVALUATION_PROTOCOL.md; report=docs/pre_baseline_audit_report.md; preregistration_commit=1044cb783dc0d7883b9065393b3e7147dafad34b; result_commit=1044cb783dc0d7883b9065393b3e7147dafad34b; fix_commits=49bba3279f356c779a0bfe93e8d31c5319009102; conclusion=Grouped CV, LOBO, inner selection, and NA policies frozen.; warnings=Side Effect single-class holdouts must remain NA where applicable.",true
E_PROV_A12,A1.2,artifacts/a1_2_run_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_2_RUN_MINIMAL_BASELINES.md; report=docs/stage_a1_2_minimal_baseline_report.md; preregistration_commit=b4fef6f63d55ccd4ed2cdf4feb2dcab1cd5b6d20; result_commit=179ce02640a8e6e15411348b57fd8d7725047364; fix_commits=none; conclusion=Minimal grouped baselines established dev signal patterns.; warnings=All findings are development-stage only.,scientific claim upgrade,,,,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_2_RUN_MINIMAL_BASELINES.md; report=docs/stage_a1_2_minimal_baseline_report.md; preregistration_commit=b4fef6f63d55ccd4ed2cdf4feb2dcab1cd5b6d20; result_commit=179ce02640a8e6e15411348b57fd8d7725047364; fix_commits=none; conclusion=Minimal grouped baselines established dev signal patterns.; warnings=All findings are development-stage only.,true
E_PROV_A13,A1.3,artifacts/a1_3_lobo_run_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_3_RUN_PRIMARY_LOBO_BASELINES.md; report=docs/stage_a1_3_primary_lobo_report.md; preregistration_commit=6b98e03537360d8e60e5ccf3ca4c5ea7b51a652d; result_commit=346bb4b3d4a90fc51c1e099618c3b7592fa76b99; fix_commits=6027d5e5af29a1b0143bb04024084a6c4209529e; conclusion=Primary four-family LOBO established structural Success/Looping signal.; warnings=Side Effect support sparse; single-class domains retained as NA.,scientific claim upgrade,,,,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_3_RUN_PRIMARY_LOBO_BASELINES.md; report=docs/stage_a1_3_primary_lobo_report.md; preregistration_commit=6b98e03537360d8e60e5ccf3ca4c5ea7b51a652d; result_commit=346bb4b3d4a90fc51c1e099618c3b7592fa76b99; fix_commits=6027d5e5af29a1b0143bb04024084a6c4209529e; conclusion=Primary four-family LOBO established structural Success/Looping signal.; warnings=Side Effect support sparse; single-class domains retained as NA.,true
E_PROV_A14,A1.4,artifacts/a1_4_lomo_run_summary.json,stage_determination,all,INTEGRITY,INTEGRITY_ONLY,PASS_WITH_CONDITIONS,,Methods;Appendix,secondary,provenance; determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_4_RUN_LEAVE_ONE_MODEL_OUT_BASELINES.md; report=docs/stage_a1_4_leave_one_model_out_report.md; preregistration_commit=84bf9da03c12c4bbe28f57e42b31de71e8cb1041; result_commit=91e6b195dc63bae8c82728a126945abd0d5d2b68; fix_commits=21012dd38d86b631408bd64a65af3dde8cb9b86c; conclusion=Exploratory model-only transfer observed when tasks are represented in training.; warnings=Not joint task/model OOD; one Agent model has partial benchmark coverage.,scientific claim upgrade,,,,determination=PASS_WITH_CONDITIONS; taskbook=docs/tasks/STAGE_A1_4_RUN_LEAVE_ONE_MODEL_OUT_BASELINES.md; report=docs/stage_a1_4_leave_one_model_out_report.md; preregistration_commit=84bf9da03c12c4bbe28f57e42b31de71e8cb1041; result_commit=91e6b195dc63bae8c82728a126945abd0d5d2b68; fix_commits=21012dd38d86b631408bd64a65af3dde8cb9b86c; conclusion=Exploratory model-only transfer observed when tasks are represented in training.; warnings=Not joint task/model OOD; one Agent model has partial benchmark coverage.,true
