threat_id,category,description,affected_claims,severity,mitigated_by,remaining_risk,paper_wording,blocking_for_test
T1,statistical conclusion validity,Dev set is about 196 trajectories across only 51 task groups.,C1-C14,high,task grouping; Primary LOBO; group-aware bootstrap; conservative claims,Intervals and domain estimates may remain unstable.,Results are dev-scale evidence and require confirmatory evaluation after method freeze.,no
T2,statistical conclusion validity,Side Effect has only 12 positive dev trajectories.,C10;C11;C12;C14,critical,diagnostic-only uncertainty; no imputation; exploratory-only paper role,No strong Side Effect claim is supportable.,Side Effect findings are descriptive and exploratory because only 12 positives are available.,no; lower paper role
T3,external validity,Side Effect AssistantBench is an all-negative held-out domain.,C10;C11;C14,high,dual-class metrics left missing; domain explicitly excluded from macro dual-class metrics,Cross-domain Side Effect behavior cannot be assessed uniformly.,"AssistantBench provides no positive Side Effect examples, so AP/F1 are not defined there.",no; exploratory-only
T4,external validity,A1.4 model holdouts have 100% same-task counterparts on the training side.,C12,critical,model-only label; exact coverage and overlap audit,Joint new-task and new-model generalization remains unknown.,"LOMO measures model-only transfer with tasks represented during training, not joint task-model OOD.",no for proposed claims
T5,statistical conclusion validity,Primary LOBO contains only four Benchmark groups.,C1-C11;C14,high,per-domain reporting; macro aggregation; clustered uncertainty,Four-domain macro estimates have limited domain-level degrees of freedom.,Cross-Benchmark evidence covers four preregistered groups and should not be generalized beyond them.,no
T6,measurement validity,High AP but low F1 in Success WorkArena resembles threshold-transfer or calibration symptoms.,C5;C6,medium,report AP and F1 separately; thresholds selected without held-out access,Cause is untested because no calibration experiment was run.,The pattern is calibration-like only; it is not evidence of a diagnosed calibration failure.,no
T7,construct validity,Direct repetition features are conceptually close to the Looping construct.,C3;C7;C8,high,no-repetition ablation remains strong; three-feature and residual models reported,Some predictive signal may reflect a close structural proxy to the annotation definition.,"Repetition features add value, but Looping is not fully explained by them.",no
T8,representation validity,Long trajectories use non-overlap chunking and weighted pooling rather than one full-context embedding pass.,C5;C6;C9;C11;C13;C14,medium,frozen tokenizer audit; no truncation; deterministic normalized pooling,Cross-chunk interactions may be lost.,B4 is a deterministic engineering approximation to long-context semantic representation.,no
T9,researcher degrees of freedom,A1.2-A1.7 are dev-driven method-selection stages.,C1-C14,critical,stage preregistration; immutable artifacts; final candidate proposal before test,"Dev evidence is selection evidence, not final confirmatory evidence.",All candidates and claims must be frozen before any confirmatory test access.,yes until human-approved final freeze
T10,external validity,All evidence uses one dataset and annotation source.,C1-C14,high,multiple Benchmark groups and held-out models within the dataset,Transfer to other Judge datasets and annotation policies is unknown.,Claims are restricted to AgentRewardBench and its covered domains.,no
