risk_id,risk_family,title,severity,evidence_ids,description,mitigation_category,mitigation,requires_new_experiment,reviewer_objection_ids,status
R0R01,PUBLICATION,"Narrow novelty and closest-work differentiation",MAJOR,R0E032;R0E034;R0E035;R0E037;R0E044,"Same-data AgentRewardBench and structurally close WebGraphEval make novelty the primary bottleneck.","positioning mitigation","Use the exact target/unit/access/protocol differentiation and lead with new empirical knowledge rather than method firstness.",false,OBJ01;OBJ02;OBJ14,OPEN
R0R02,SCIENTIFIC_AND_PUBLICATION,"No independent external benchmark validation",MAJOR,R0E017;R0E019;R0E029;R0E045,"Blind official test remains within evaluated benchmark families and does not validate unseen-family transfer.","new experiment required","Run a separately preregistered compatible external dataset or narrow title; abstract; and contribution language to within-family held-out evidence.","true",OBJ08;OBJ13,OPEN
R0R03,SCIENTIFIC_AND_PUBLICATION,"Looping and repetition construct overlap",MAJOR,R0E011;R0E012;R0E026;R0E045,"Repetition features directly align with the Looping label and can look tautological despite predictive validity.","new experiment required","Emphasize the construct boundary now; a future independent representation or label-validity analysis would be required to resolve it.","true",OBJ04;OBJ06,OPEN
R0R04,PUBLICATION,"Original H1 and final structural-signal narrative are not identical",MODERATE,R0E001;R0E027;R0E037;R0E044,"The final package narrows dimension-aware benchmark-shift ambitions to evidence the repository can defend.","writing mitigation","State the narrowed research question early and do not imply that label-specific fusion or unseen-benchmark H1 components were confirmed.",false,OBJ01;OBJ08,OPEN
R0R05,SCIENTIFIC_AND_PUBLICATION,"Metadata confounding remains",MODERATE,R0E025;R0E029;R0E045;R0E046,"Metadata-only grouped models retain non-trivial dev signal and B2 is only descriptively higher.","writing mitigation","Report exact metadata diagnostics and avoid claiming confounding elimination or significant superiority.",false,OBJ03;OBJ05,OPEN
R0R06,SCIENTIFIC_AND_PUBLICATION,"Side Effect has low class support",MODERATE,R0E006;R0E017;R0E019;R0E020;R0E045,"Only 12 dev positives support the frozen model and the target remains exploratory.","writing mitigation","Keep Side Effect outside main confirmatory contributions and state dev/test support and thresholded weakness.",false,OBJ07,OPEN
R0R07,SCIENTIFIC_AND_PUBLICATION,"Benchmark heterogeneity limits uniform claims",MODERATE,R0E009;R0E012;R0E017;R0E019;R0E045,"Per-family performance varies substantially and AssistantBench is weaker.","writing mitigation","Present all family results and treat heterogeneity descriptively without pairwise superiority claims.",false,OBJ09,OPEN
R0R08,SCIENTIFIC_AND_PUBLICATION,"Dense semantic comparison covers one specification",MODERATE,R0E013;R0E019;R0E029;R0E045,"One encoder and pooling design cannot establish a general complexity hierarchy.","writing mitigation","Call B4 a frozen complexity control and preserve uncertain and negative contrasts.",false,OBJ10;OBJ11,OPEN
R0R09,SCIENTIFIC_AND_PUBLICATION,"Agent/model robustness is model-only and incomplete",MODERATE,R0E007;R0E010;R0E019;R0E045,"LOMO shares tasks and one model lacks full benchmark coverage; joint task/model OOD is absent.","writing mitigation","Label A1.4 exploratory model-only transfer and prohibit arbitrary-agent or joint-OOD claims.",false,OBJ08;OBJ13,OPEN
R0R10,SCIENTIFIC,"Label adjudication and source-license limitations",MODERATE,R0E002;R0E003;R0E022;R0E045,"Repeated-label disagreements are excluded but no adjudication hierarchy exists and no standard license identifier is declared.","writing mitigation","Document target-wise exclusions; audit-only primary labels; and the custom Terms of Use without inferring legal status.",false,OBJ04,OPEN
R0R11,PUBLICATION,"Calibration and deployment utility are not evaluated",MODERATE,R0E029;R0E045,"Scores are not calibrated risk estimates and no online or selective-decision evidence exists.","new experiment required","Restrict practical claims to offline diagnostics; calibration or deployment evidence requires a new stage.","true",OBJ15,OPEN
R0R12,SCIENTIFIC_AND_PUBLICATION,"Mechanism evidence is associational and feature-correlated",MODERATE,R0E011;R0E025;R0E026;R0E029;R0E045,"Ablations and coefficients do not identify causal mechanisms and selected errors are illustrative.","writing mitigation","Use association language; retain correlated-feature caveats; and avoid mechanism or prevalence claims.",false,OBJ03;OBJ04,OPEN
R0R13,PUBLICATION,"No frozen target-journal dossier",MINOR,R0E038;R0E039,"PC6 and target-specific PCS cannot be scored.","journal-selection mitigation","Freeze a journal dossier in a later authorized stage before making journal-specific competitiveness claims.",false,,OPEN
R0R14,PUBLICATION,"Journal-specific title formatting and prose remain open",MINOR,R0E038;R0E039;R0E043,"Scientific assets are mapped but final title; word limits; section naming; and prose order are not selected.","journal-selection mitigation","Resolve only after a target journal is frozen and preserve all evidence contracts.",false,,OPEN
R0R15,PUBLICATION,"Efficiency evidence is environment-specific",MINOR,R0E023;R0E024;R0E029;R0E045,"B2 and B4 timing and memory use different resource domains on one machine.","writing mitigation","Report hardware; device; repetitions; and resource-domain definitions with no universal cost claim.",false,OBJ15,OPEN
