work,web_agent_specific,trajectory_level,step_level,task_agnostic,requires_large_semantic_model,requires_training,human_annotation_role,success_evaluation,side_effect_evaluation,repetition_or_process_failure,blind_heldout_protocol,efficiency_analysis,interpretability_diagnostics,main_goal,comparability
"AgentRewardBench","yes","yes","no","within five web benchmark families","yes for evaluated LLM judges","no dedicated judge training","expert trajectory labels define benchmark ground truth","yes","yes","yes: repetition","official dev/test split; not THIS_WORK blind-first protocol","limited judge-cost context","judge error analyses","benchmark and evaluate automatic trajectory judges","PARTIALLY_COMPARABLE"
"Agent-as-a-Judge","no: code agents","yes","yes when inspecting execution","no","yes","no dedicated reward training","human consensus validates evaluation","requirement completion","not a primary target","process/requirement diagnostics","reported black-box settings; not equivalent","time and monetary cost","requirement-level rationale","agentic evaluation of agent-generated code","CONTEXT_ONLY"
"CUARewardBench","yes: computer use","yes","yes","within OSWorld","yes: VLM reward models","yes for proposed models","human outcome and key-step annotations","yes","included in human success judgment","key-step correctness","benchmark split not equivalent","not central","outcome/process decomposition","benchmark outcome and process reward models","PARTIALLY_COMPARABLE"
"Web-Shepherd","yes","yes through aggregation","yes","across selected web tasks","yes","yes","preference/checklist supervision","through search success","no","step action quality","no equivalent blind-first protocol","cost and search efficiency reported","step feedback/checklists","train PRMs and guide web-agent search","CONTEXT_ONLY"
"AgentRM","partly","yes","no","across heterogeneous tasks","yes","yes","reward supervision","through task success/progress","no","no dedicated repetition target","held-in/held-out tasks; not same benchmark/split","search compute context","reward analysis","generalize policy behavior with reward-guided search","CONTEXT_ONLY"
"WebArbiter","yes","yes through search","yes","across selected web benchmarks","yes","yes","distilled/reinforced preference reasoning","through search success","no","step action quality","no equivalent blind-first protocol","search gains; not evaluator-runtime comparison","principle/rationale output","reasoning process reward and web search","CONTEXT_ONLY"
"AgentProcessBench","partly","yes","yes","across four tool-agent datasets","yes for evaluated judges","no for benchmark","human ternary step labels","outcome is context","harmful steps are a close analogue","yes: ineffective/harmful steps and first error","benchmark evaluation; not equivalent","not central","error propagation and first-error diagnostics","diagnose step-level process quality","CONTEXT_ONLY"
"Boosting Virtual Agent Learning and Reasoning: A Step-Wise, Multi-Dimensional, and Generalist Reward Model with Benchmark","partly","yes","yes","across virtual-agent platforms","yes","yes","automated and curated multidimensional labels","odds-of-success dimension","not an explicit target","efficiency/relevance/coherence dimensions","train/eval split; not equivalent","model/search efficiency context","dimension-wise reward explanation","train Similar multidimensional step reward models","CONTEXT_ONLY"
"WebGraphEval: Multi-Turn Trajectory Evaluation for Web Agents using Graph Representation","yes","yes: analyzed individually then aggregated","yes: actions become graph nodes","across WebArena tasks and six agents","yes for canonicalization, success, and necessity annotation","no evaluator training","LLM labels with sampled human agreement checks","success-conditioned graph statistics","not a target","redundancy, necessity, efficiency, and critical transitions","no equivalent split or blind-first protocol","path length, necessity, and step-inflation analysis","weighted graph, reward propagation, and edge diagnostics","aggregate multiple trajectories into graph-structured efficiency and strategy analysis","PARTIALLY_COMPARABLE"
"Where Did It Go Wrong? Process-Level Evaluation of Web Agents with Semantic State Tracking","yes","yes","yes: semantic actions, skills, and bifurcations","within 10 deterministic WebStep websites","no model-based evaluator; evaluated agent policies may be large","no evaluator training","no manual annotation for process metrics","terminal success is one metric, not the sole target","not Side Effect","exploration/execution failures, skill invocation, and bifurcation types","purpose-built WebStep protocol; not equivalent","GUI/semantic steps and information coverage","deterministic semantic-MDP process and failure diagnostics","diagnose how and where web agents succeed or fail","CONTEXT_ONLY"
"THIS_WORK","yes within AgentRewardBench families","yes","no","task-agnostic structural representation within studied setting","no","yes: lightweight fixed candidates trained only under frozen protocol","reuses frozen AgentRewardBench expert labels without modification","yes: CONFIRMATORY_SUPPORTED","yes: EXPLORATORY_SUPPORTED only","yes: Looping CONFIRMATORY_SUPPORTED","yes: blind-first official held-out within evaluated benchmark families","yes: frozen environment-specific cost characterization","yes: frozen structural and failure diagnostics","study lightweight dimension-aware structural trajectory evaluation under benchmark shift","SELF; no valid direct cross-paper head-to-head"
