trajectory_key,model_name,matched_model_name,matched_literal,match_type,source_field,occurrence_count,review_status
assistantbench::assistantbench.validation.11::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.11::GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.11::GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.11::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.25::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.25::GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.25::GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.25::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.31::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.31::GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.31::GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.31::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.3::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.3::GenericAgent-anthropic_claude-3.7-sonnet,GenericAgent-anthropic_claude-3.7-sonnet,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.3::GenericAgent-gpt-4o-2024-11-20,GenericAgent-gpt-4o-2024-11-20,,,none,none,0,no_model_literal
assistantbench::assistantbench.validation.3::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,,,none,none,0,no_model_literal
