criterion_id,dimension,criterion_name,dimension_weight,internal_weight,evidence_status,evidence_confidence,judgment_type,primary_score_0_4,evidence_ids,supporting_reason,limitation,cap_triggered,cap_rule,risk_ids
SV1.1,SV1,"Research Question Clarity & Falsifiability",15,0.2,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E001;R0E020;R0E041,"The charter fixes a specific H1 and explicit falsification conditions and the final claim ledger preserves supported and prohibited outcomes.","The final paper question is narrower than the original H1 but remains explicitly testable.",false,,
SV1.2,SV1,"Construct Validity",15,0.2,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E002;R0E003;R0E004;R0E025;R0E045,"Official expert labels and leak-safe representations are operationalized and morphology-versus-semantics limits are explicit.","Looping overlaps directly with repetition morphology and Side Effect has low support; structural proxies do not establish semantic understanding.",false,,R0R03;R0R06;R0R12
SV1.3,SV1,"Design-Question Alignment",15,0.25,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E001;R0E009;R0E013;R0E017;R0E044,"Grouped development; representation comparisons; blind held-out confirmation; efficiency; and diagnostics answer the frozen structural-signal paper question.","The original H1 included label-specific fusion and broader benchmark-shift ambitions that the final evidence package narrows.",false,,R0R04
SV1.4,SV1,"Alternative-Explanation Control",15,0.2,PARTIALLY_VERIFIED,HIGH,MIXED,2,R0E004;R0E007;R0E011;R0E025;R0E026;R0E045,"Identity fields are excluded and length; termination; repetition; error; metadata; dense semantics; benchmark; and model-shift explanations are audited.","Metadata retains non-trivial dev signal; task difficulty is not independently controlled; and repetition overlap remains a plausible shortcut account.",false,,R0R03;R0R05;R0R12
SV1.5,SV1,"Inference & Scope Alignment",15,0.15,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E019;R0E020;R0E037;R0E041;R0E045;R0E046,"Frozen claims explicitly separate prediction from causation; blind held-out from external validation; dev comparisons from confirmation; and Side Effect exploration from confirmation.","High credit depends on retaining the mandatory caveats in manuscript prose.",false,,
SV2.1,SV2,"Data Provenance & Version Integrity",15,0.2,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E002;R0E003;R0E005;R0E048,"GitHub and Hugging Face revisions; source files; sizes; hashes; retrieval metadata; build scope; and deterministic processed artifacts are persisted.","The raw trajectory cache is not committed but immutable paths; revisions; sizes; hashes; and build records are preserved.",false,,
SV2.2,SV2,"Sampling & Coverage Validity",15,0.2,PARTIALLY_VERIFIED,HIGH,MIXED,3,R0E002;R0E005;R0E006;R0E017;R0E045,"The evidence covers four benchmark families; 351 tasks overall; 300 official test task groups; and multiple agent models under documented splits.","It is one source dataset; official test stays within evaluated families; model coverage is incomplete; and no independent external dataset was run.",false,,R0R02;R0R09
SV2.3,SV2,"Label Definition & Operationalization",15,0.2,PARTIALLY_VERIFIED,HIGH,EVIDENCE_DRIVEN,3,R0E002;R0E003;R0E020;R0E045,"Exact official fields and binary mappings are frozen; Unsure and disagreement cases are excluded target-wise; and claim roles match label support.","The position-based official primary rule is not an adjudication hierarchy and construct overlap is not resolved.",false,,R0R03;R0R10
SV2.4,SV2,"Label Quality & Consistency",15,0.25,PARTIALLY_VERIFIED,HIGH,MIXED,2,R0E002;R0E003;R0E022;R0E045,"Duplicate annotation disagreements and Unsure labels are explicitly audited and excluded from main eligibility without relabeling.","No adjudication or independent label-reliability study is available; expert labels can still contain systematic construct noise.",false,,R0R10
SV2.5,SV2,"Eligibility, Missingness & Class Support",15,0.15,PARTIALLY_VERIFIED,HIGH,EVIDENCE_DRIVEN,2,R0E003;R0E006;R0E007;R0E017;R0E020,"Target-specific eligibility is explicit; missing or disputed labels are excluded; and single-class cells are retained as NA rather than imputed.","Side Effect has only 12 dev positives and is exploratory; several development holdouts are single-class even though official test cells contain both classes.",false,,R0R06
SV3.1,SV3,"Development/Test Separation",20,0.15,PARTIALLY_VERIFIED,HIGH,EVIDENCE_DRIVEN,3,R0E002;R0E003;R0E015;R0E016;R0E017,"Routine development uses dev-only labels; final methods are frozen before blind test content and test labels are unlocked once after prediction commit.","A0.1 recorded aggregate audit-only test-label distributions; repository evidence states they did not enter selection.",false,,
SV3.2,SV3,"Group Leakage Control",20,0.15,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E003;R0E006;R0E007;R0E017,"The frozen group key keeps all task-related trajectories together; manifests are hash-locked; cross-benchmark normalized-task collisions are zero; and bootstrap resamples task groups.","Model-only LOMO intentionally shares task keys across model holdouts and is explicitly exploratory rather than joint OOD.",false,,R0R09
SV3.3,SV3,"Preregistration Discipline",20,0.15,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E006;R0E009;R0E012;R0E015;R0E016;R0E017;R0E019,"Formal stages freeze methods; metrics; thresholds; estimands; seeds; hashes; stop rules; and stage gates before result generation; invalid runs are preserved and rerun.","Implementation corrections required independent commits but did not silently alter scientific specifications.",false,,
SV3.4,SV3,"Model / Threshold / Eligibility Freeze",20,0.15,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E003;R0E006;R0E015;R0E016;R0E017,"Final representation; estimator; configuration; threshold; eligibility; input view; and model bytes are frozen before test access and match at scoring.","No post-test change is recorded.",false,,
SV3.5,SV3,"Blind Prediction & Label-Unlock Integrity",20,0.2,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E016;R0E017;R0E018;R0E019,"Blind predictions were committed and hash-frozen before the one-time label unlock; bytes remained unchanged; joins were complete; and independent verification passed.","The protocol confirms held-out tasks within known families rather than an external benchmark.",false,,R0R02
SV3.6,SV3,"Post-Test Tuning Control",20,0.1,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E017;R0E018;R0E019;R0E041,"Post-unlock refits; reinference; threshold; eligibility; metric; bootstrap; fusion; calibration; and tuning counters are zero; dev comparisons were not upgraded.","No contrary repository evidence was found.",false,,
SV3.7,SV3,"Protocol Provenance & Auditability",20,0.1,VERIFIED,HIGH,EVIDENCE_DRIVEN,4,R0E006;R0E015;R0E016;R0E017;R0E018;R0E019,"Taskbooks; commits; hashes; failure records; predictions; machine summaries; reports; and independent verifiers establish the execution chronology.","Decision log coverage after A1.10 is incomplete but stage-specific committed provenance remains direct.",false,,
