evidence_id,source_stage,source_path,source_commit,source_hash_or_identifier,evidence_type,supports_sv,supports_pc,summary,direct_or_indirect,verified,notes
R0E001,CHARTER,research/00_RESEARCH_CHARTER.md,0a7446bc8a0fe4f3f1d337bf0e76ffadca327e36,dc76edb162ab6b64d73e6af0ea8bd7a3aeb975acf0fe16c5a6d66007e48f65a1,research_contract,SV1;SV5,PC2;PC4,"Frozen research question, H1, falsification conditions, protocol boundaries, and candidate contributions.",DIRECT,true,
R0E002,A0.1,docs/data_contract.md,49f7d7c7d6c83f23ff8d6a5a68c671a0d3687177,80d9e5ea5f9bb013982cf10d7d3af7db700cfa741c957655506c5b49a5c1eea0,data_contract,SV2;SV3,PC3;PC5,"Pinned source revisions, label mappings, split contract, duplicate disagreements, license limitation, and test-sealing principle.",DIRECT,true,
R0E003,A0.2,docs/analysis_unit_policy.md,60296babe21a7c91c5ca52a3da2780f3ee859b9f,1403b9e0c93851525f886adb029187846d6450eb62dde5c51601aecf9ec003ac,analysis_unit_contract,SV2;SV3,PC3;PC5,"Frozen trajectory key, disagreement exclusions, eligibility rule, benchmark namespaces, and audit-only primary-label boundary.",DIRECT,true,
R0E004,A0.4,docs/input_contract.md,e302dfc2b159f295e6e3a17243fbb6c490bd5d15,b90e6315ecd71899dd92cefd306c62c0aeb7e54716ee44cfe987e313ef8dffbf,input_contract,SV1;SV2;SV3,PC3;PC5,"Leak-safe input whitelist, permanent exclusions, identity isolation, view definitions, and non-inferred terminal semantics.",DIRECT,true,
R0E005,A1.0,docs/dev_corpus_build_report.md,695750f6011e307324a4b483117bcd5010653260,185cb1fdf0bca05eb7ac61889624e6d6d8d5f854a22627d2d092d22d60e5bd22,formal_report,SV2;SV3;SV6,PC3,"Complete 196-trajectory dev build, fixed revision, parsing coverage, leakage checks, excluded drift, and identity-token warning.",DIRECT,true,
R0E006,A1.1,docs/evaluation_protocol.md,49bba3279f356c779a0bfe93e8d31c5319009102,8b77623d6a5252515fabb2e955929d825160c23e58a8a3566b779e8de6812709,protocol_contract,SV3;SV4,PC3;PC5,"Frozen task-grouped folds, nested selection, threshold, metric, LOBO, single-class, and test-sealing rules.",DIRECT,true,
R0E007,A1.1,docs/pre_baseline_audit_report.md,49bba3279f356c779a0bfe93e8d31c5319009102,8920957a6bd1c5e139b7a25d4fca303f5b6f4efe1f325b7a794c9dc721ca3258,formal_report,SV1;SV2;SV3,PC3;PC5,"Group-key audit, drift review, natural errors, WorkArena literals, LOMO feasibility, and held-out class-support conditions.",DIRECT,true,
R0E008,A1.2,docs/stage_a1_2_minimal_baseline_report.md,179ce02640a8e6e15411348b57fd8d7725047364,dc86540c97b5ee0e536e40eb0afa9be1727d226036709aa00ef6ffdc5b65e672,formal_report,SV4;SV5;SV6,PC3;PC5,"Grouped baseline execution, OOF coverage, selection verification, and Side Effect support boundary.",DIRECT,true,
R0E009,A1.3,docs/stage_a1_3_primary_lobo_report.md,346bb4b3d4a90fc51c1e099618c3b7592fa76b99,b6914d76cca3283906266fea37320ae1022103ab9b4b6809ef19fd1291457d78,formal_report,SV4;SV5;SV6,PC3;PC5,"Primary four-family LOBO baselines, complete predictions, and single-class Side Effect handling.",DIRECT,true,
R0E010,A1.4,docs/stage_a1_4_leave_one_model_out_report.md,21012dd38d86b631408bd64a65af3dde8cb9b86c,58acaedc95fc77dec24f79321e05e72f94b810deb8c2183046b24b3df3900f13,formal_report,SV5;SV6,PC3;PC5,Exploratory model-only transfer with incomplete cross-benchmark model coverage and explicit scope boundary.,DIRECT,true,
R0E011,A1.5,docs/stage_a1_5_structural_mechanism_ablation_report.md,e4fd9aba83cc6ed3b01b1f624c666b6cc7fce3ca,c42dc5ae2fc3f9672b1d37cc8754f8748007202b32811b518e7acdcf0654e1e8,formal_report,SV1;SV4;SV5,PC3;PC5,"Frozen structural group ablations, exact S0 reproduction, descriptive dependencies, and Side Effect non-assessability.",DIRECT,true,
R0E012,A1.6,docs/stage_a1_6_group_aware_bootstrap_report.md,040d081d3359f75f1303f4c24d7f8be79b5da75d,36c466c43c5e7e350ab12fea64b9e4fd46021a2084aeeddde1a99bf01105d550,formal_report,SV4;SV5;SV6,PC3;PC5,"Task-group cluster bootstrap, stable and uncertain contrasts, invalid-draw accounting, and non-significance interpretation.",DIRECT,true,
R0E013,A1.7,docs/stage_a1_7_frozen_dense_semantic_baseline_report.md,362a45917e403be7aacb54359aac2537473508fb,8380c035339b87bde1a6e9f7aafeef47b3f2612d6712f335a670aea52c4f7676,formal_report,SV4;SV5;SV6,PC3;PC5,"Single frozen dense encoder comparison, stable Success signal, uncertain relative AP gains, stable F1 drop, and Side Effect diagnostic.",DIRECT,true,
R0E014,A1.8,docs/stage_a1_8_evidence_audit_report.md,a7406bcc2e4fe885c02a0024243abfa6fee8fb61,9f5e3fe496b5436d511bcf93fea6c7f892e6aa85fa9f679aeb3bba631644aa8e,evidence_audit,SV1;SV4;SV5;SV6,PC3;PC4;PC5,"Evidence-only claim audit preserving unsupported, dev-only, descriptive, and prohibited interpretations.",DIRECT,true,
R0E015,A1.9,docs/stage_a1_9_final_method_freeze_report.md,8f96a6f032ee9b4dd0272164d60230303612043b,0830978cde6dc5a8b5770b3fb22996628a8ccdad59934fdc0615a12b931e9bd6,formal_report,SV3;SV6,PC3;PC5,"Final method, configuration, threshold, fit budget, model hash, role, and claim freeze before test access.",DIRECT,true,
R0E016,A1.10a,docs/stage_a1_10a_blind_test_inference_report.md,cead3cbaa362da4a9918dab32e41b58fffb987d9,bb06f16de574d96fb85e36cbd61fe5e5de52de46180c6d461d54ee616621aef8,formal_report,SV3;SV6,PC3;PC5,"Blind inference, zero-fit predictions, hash freeze, label-access counters, and preserved pre-inference fix.",DIRECT,true,
R0E017,A1.10b,docs/stage_a1_10_official_test_evaluation_report.md,53d81eb17e1be52e55489f5fbdf1f72018c5a349,536c023b3199215d901230a0df9e57799d5966a102d6e2ac7c028c16675b7e6d,formal_report,SV3;SV4;SV5;SV6,PC3;PC5,"Blind-before-label provenance, join integrity, confirmatory held-out signals, bootstrap integrity, heterogeneity, and post-unlock zero tuning.",DIRECT,true,
R0E018,A1.10b,artifacts/a1_10_independent_verification.json,53d81eb17e1be52e55489f5fbdf1f72018c5a349,16f210ab02ef9533223a677971481ad19b42cea18188c38ceb284590c55123e7,independent_verification,SV3;SV4;SV6,PC3;PC5,Independent frozen-result verification for official-test scoring and provenance.,DIRECT,true,
R0E019,A1.11,docs/stage_a1_11_final_evidence_consolidation_report.md,5ec7c9d7f50a4c8836c6309c795afb407b18c46e,e7ab8a28b9cb97ce033a78af074d84088339de2f6607dd27692a358e1f91923e,evidence_consolidation,SV1;SV3;SV4;SV5;SV6,PC3;PC4;PC5,"Complete A0-A1.10 provenance, final claims, evidence gaps, warnings, and no-new-experiment guard.",DIRECT,true,
R0E020,A1.11,artifacts/a1_11_final_claim_matrix.csv,5ec7c9d7f50a4c8836c6309c795afb407b18c46e,2fc929e242e614244940d6d96d8ff1e3935e059925cff0b36b009a86b04f3175,claim_matrix,SV1;SV5;SV6,PC3;PC4;PC5,"Frozen 25-row manuscript claim contract with confirmatory, exploratory, dev-only, descriptive, unsupported, and prohibited statuses.",DIRECT,true,
R0E021,A1.11,artifacts/a1_11_evidence_registry.csv,5ec7c9d7f50a4c8836c6309c795afb407b18c46e,98c8f66e7d53bdecaef201c362565279a2a81630f73a3c5970c725433c0cd0a8,evidence_registry,SV4;SV5;SV6,PC3;PC5,Ninety-row evidence registry tracing formal metrics and limitations to source artifacts and commits.,DIRECT,true,
R0E022,A1.11,docs/a1_11_limitations_ledger.md,5ec7c9d7f50a4c8836c6309c795afb407b18c46e,d16384d16a0f25456524efaa4e1624f7338dc472d235ff2e0d083ac8e0e58057,limitations_ledger,SV1;SV2;SV5;SV6,PC3;PC5,"Frozen eight-item limitation ledger covering external validity, labels, causality, heterogeneity, relative comparisons, and deployment.",DIRECT,true,
R0E023,A2.1,docs/stage_a2_1_efficiency_benchmark_report.md,b4e4a6ab95d8191f1bef91dab9844bef48f00a8d,2afe244c653ef3837d52731f2821e978e36fc6d211aba58653e3ad407fcf4eb2,formal_report,SV6,PC2;PC3;PC5,"Environment-specific B2/B4 extraction, storage, memory, and inference characterization with no A1 performance recomputation.",DIRECT,true,
R0E024,A2.1,artifacts/a2_1_run_summary.json,b4e4a6ab95d8191f1bef91dab9844bef48f00a8d,4b1cb374030ac1d57f29393489f5fb9d8826b5375092924417e9fd14edc6f8cc,machine_summary,SV6,PC3;PC5,"Machine-readable efficiency results, hashes, repetitions, provenance, and scientific-operation counters.",DIRECT,true,
R0E025,A2.2,docs/stage_a2_2_interpretability_confounder_error_analysis_report.md,a57befbb027d2544d32e3e0cde906c2edf13d385,bba21ad289be5cc7127c840c1eb90f8349c3bf43623a75a2f1a318f7ccb6649f,formal_report,SV1;SV4;SV5;SV6,PC3;PC5,"Post-freeze coefficients, metadata-only diagnostic signal, deterministic error cases, and explicit non-causal scope.",DIRECT,true,
R0E026,A2.2,docs/a2_2_error_analysis.md,a57befbb027d2544d32e3e0cde906c2edf13d385,e0e6431fdc869e9e53e6660529f21699507efe27229093b797311da2b866eef0,error_analysis,SV1;SV5,PC3;PC5,Deterministic Success/Looping FP/FN cases illustrating morphology-semantic and productive-repetition boundaries.,DIRECT,true,
R0E027,A2.3,docs/stage_a2_3_baseline_paper_package_report.md,ad0576c488fafed243b464e0b8f903e9bb233b43,3ddadffc006277ff51f121b213b0310a1388f76e82f700577644d5e4e90da43b,publication_package,SV5;SV6,PC1;PC2;PC3;PC4;PC5,"Baseline completeness, paper story, contributions, external-validation deferral, warnings, and package verification.",DIRECT,true,
R0E028,A2.3,artifacts/a2_3_baseline_completeness_matrix.csv,ad0576c488fafed243b464e0b8f903e9bb233b43,76578f063c0b2fa1676c4ba4082e42242a76f4e5e23317a055ccf2b05a14b575,baseline_registry,SV4;SV5,PC3;PC5,Frozen local baseline tiers and literature-context boundaries.,DIRECT,true,
R0E029,A2.3,docs/a2_3_final_limitations_ledger.md,ad0576c488fafed243b464e0b8f903e9bb233b43,80490f81318903267bfe117a0cadae9192ba35db50a352329aac4a01094d8255,limitations_ledger,SV1;SV2;SV5;SV6,PC3;PC4;PC5,"Twelve retained limitations including metadata confounding, low Side Effect support, no deployment evidence, and environment-specific timing.",DIRECT,true,
R0E030,A3.1,docs/stage_a3_1_final_figures_tables_report.md,e17bf7c6c1974d8a96ab7e7814b0a21ec827a082,2a067b304f6ca9299f5ff69293f20f0ddc4f967e61ce4cfaa5ed14dc4ea013bc,formal_report,SV6,PC3;PC4;PC5,"Final paper tables/figures, exact hashes, visual QA, claim boundaries, and zero scientific counters.",DIRECT,true,
R0E031,A3.1,artifacts/a3_1_artifact_registry.csv,e17bf7c6c1974d8a96ab7e7814b0a21ec827a082,abddd001eccf5f43d8890f6ee270cd5d71bfe8fa03a87242a77f6e96f15cd455,artifact_registry,SV6,PC3;PC4,Thirty-three paper-facing artifacts with exact source and output hashes.,DIRECT,true,
R0E032,A3.2,docs/stage_a3_2_literature_baseline_verification_report.md,ef37dee92ef319b2f7d39367e757919a898fbfdb,d2cef2da7d0fa5bcc6c83bdbbc4a90491a7aff18d8e6e1711ea0271772330ea4,literature_audit,SV6,PC1;PC2;PC3;PC5,"Frozen primary-source literature audit, zero directly comparable works, and no valid numeric cross-paper head-to-head.",DIRECT,true,
R0E033,A3.2,artifacts/a3_2_verified_literature_registry.csv,bb9dc52467f58769f833e501aa5fa96cb1be9937,46a688ad56cc8dc8f0337af44148a6b19500700af402f261e61010aa710434e8,literature_registry,SV6,PC1;PC2;PC5,"Primary-source verified identities, source status, comparability, and unresolved metadata without inference.",DIRECT,true,
R0E034,A3.2,artifacts/a3_2_positioning_matrix.csv,bb9dc52467f58769f833e501aa5fa96cb1be9937,e028eaaf21dfc6db0d21254ee3e105e3406b04ff9068096f5e75de14b8d50c86,positioning_matrix,SV1;SV5,PC1;PC2;PC5,Property-only comparison across verified works and THIS_WORK.,DIRECT,true,
R0E035,A3.2_ADDENDUM,docs/a3_2_closest_work_addendum_report.md,bb9dc52467f58769f833e501aa5fa96cb1be9937,6f0e4c63bac334981d22d30608e69eb121111886f33af3b4e70464a02cc0f901,closest_work_audit,SV6,PC1;PC2;PC5,"Targeted WebGraphEval/WebStep audit, Similar identity resolution, and closest-work comparability recheck.",DIRECT,true,
