work_id,canonical_title,authors,year,venue_or_status,primary_source_type,primary_source_identifier,primary_source_url,version_or_revision,verified_date,research_object,evaluation_granularity,input_representation,output_signal,training_required,uses_llm_or_vlm,uses_reward_model,uses_rule_based_eval,web_agent_specific,trajectory_level,step_level,benchmarks,policy_models,reported_metrics,reported_main_result,result_source_location,code_available,data_available,comparability_class,paper_role,verification_status,notes
"agentrewardbench","AgentRewardBench: Evaluating Automatic Evaluations of Web Agent Trajectories","Xing Han Lù; Amirhossein Kazemnejad; Nicholas Meade; Arkil Patel; Dongchan Shin; Alejandra Zambrano; Karolina Stańczak; Peter Shaw; Christopher J. Pal; Siva Reddy","2025","COLM 2025","peer_reviewed_proceedings","OpenReview:fQcUZMPIvu; arXiv:2504.08942","https://openreview.net/forum?id=fQcUZMPIvu","arXiv v2; COLM 2025","2026-08-14","benchmark construction and evaluation of automatic LLM judges for web-agent trajectories","full trajectory with three binary dimensions","trajectory observations including screenshots/DOM/accessibility tree plus reasoning and actions","success; side effects; repetition labels and judge predictions","no for benchmark; no model training reported for evaluated prompted judges","yes","no","yes as a comparison baseline","yes","yes","no","AgentRewardBench: five source benchmarks; official 196 dev / 1106 test trajectories","four source agent families; twelve evaluated LLM judges","precision primary; recall and F1 auxiliary","1302 expert-reviewed trajectories and 3906 binary annotations; no evaluated judge was consistently best across all dimensions","Abstract; Sections 2-4; Tables 1-3","yes: https://github.com/McGill-NLP/agent-reward-bench","yes","PARTIALLY_COMPARABLE","mandatory_tier4","VERIFIED_PRIMARY","THIS_WORK reuses the dataset and official split but studies frozen lightweight structural evaluators rather than the paper's prompted LLM-judge comparison; shared data provenance precludes independent external-validation wording."
"web_shepherd","Web-Shepherd: Advancing PRMs for Reinforcing Web Agents","Hyungjoo Chae; Seonghwan Kim; Junhee Cho; Seungone Kim; Seungjun Moon; Gyeom Hwangbo; Dongha Lim; Minjin Kim; Yeonjun Hwang; Minju Gwak; Dongwook Choi; Minseok Kang; Gwanhoon Im; ByeongUng Cho; Hyojun Kim; Jun Han; Taeyoon Kwon; Minju Kim; Beong-woo Kwak; Dongjin Kang; Jinyoung Yeo","2025","NeurIPS 2025","peer_reviewed_proceedings","NeurIPS:5bac36213824c6e0b0a173df8e2276a6; arXiv:2505.15277","https://proceedings.neurips.cc/paper_files/paper/2025/hash/5bac36213824c6e0b0a173df8e2276a6-Abstract-Conference.html","NeurIPS 2025; arXiv v2","2026-08-14","trained process reward models for web-agent action quality and reward-guided search","step-level preference and trajectory aggregation","text or vision observation; action; task checklist","continuous step reward from judgment-label probabilities","yes: LoRA training on WebPRM Collection","yes","yes","no","yes","yes through aggregation","yes","WebRewardBench; WebArena-Lite; WorkArena","Qwen2.5/Qwen3 text and vision reward models; web policies under guided search","MRR; step accuracy; trajectory accuracy; task success rate","Web-Shepherd 8B text reports 97.8 MRR and 85.0 trajectory accuracy on the WebArena portion of WebRewardBench; guided search raises WebArena-Lite success from 23.64 to 34.55","Table 1; Table 2; Section 4","yes: https://github.com/kyle8581/Web-Shepherd","yes","CONTEXT_ONLY","mandatory_tier4","VERIFIED_PRIMARY","Step PRM trained for action selection/search; dataset, target, information access, metric, and test-time role differ from THIS_WORK."
"agentrm","AgentRM: Enhancing Agent Generalization with Reward Modeling","Yu Xia; Jingru Fan; Weize Chen; Siyu Yan; Xin Cong; Zhong Zhang; Yaxi Lu; Yankai Lin; Zhiyuan Liu; Maosong Sun","2025","ACL 2025 Long Papers","peer_reviewed_proceedings","ACL Anthology:2025.acl-long.945; DOI:10.18653/v1/2025.acl-long.945","https://aclanthology.org/2025.acl-long.945/","ACL 2025 camera-ready","2026-08-14","reward modeling for agent-policy generalization and test-time search","trajectory candidate scoring during Best-of-N or beam search","task trajectory and task context for heterogeneous agent environments","scalar reward used to select generated trajectories","yes: 8B explicit reward model","yes","yes","no","partly","yes","no","WebShop; Alfworld; Sciworld; BabyAI; Jericho; Pddl; Maze; ToolQuery; ToolOperation","LLM agents with Best-of-N and beam-search selection","success rate; progress rate; average reward","The explicit reward model with Best-of-5 reports an average score of 61.5 versus 52.7 for greedy decoding across the nine evaluated tasks","Section 3; Table 1 page 4","yes: https://github.com/thunlp/AgentRM","yes","CONTEXT_ONLY","mandatory_tier4","VERIFIED_PRIMARY","Reward model supports policy search across mixed agent tasks; it is not a frozen benchmark-level trajectory classifier with the same targets or split."
"agent_as_a_judge","Agent-as-a-Judge: Evaluate Agents with Agents","Mingchen Zhuge; Changsheng Zhao; Dylan R. Ashley; Wenyi Wang; Dmitrii Khizbullin; Yunyang Xiong; Zechun Liu; Ernie Chang; Raghuraman Krishnamoorthi; Yuandong Tian; Yangyang Shi; Vikas Chandra; Jürgen Schmidhuber","2025","ICML 2025; PMLR 267:80569-80611","peer_reviewed_proceedings","PMLR:v267/zhuge25a; arXiv:2410.10934","https://proceedings.mlr.press/v267/zhuge25a.html","ICML 2025 proceedings","2026-08-14","agentic evaluation of code-generating agents against hierarchical task requirements","requirement-level and full-task evaluation","workspace files; code; task requirements; optionally collected agent trajectories","requirement judgments and task-level evaluation","no dedicated reward-model training required","yes","no","no","no","yes","yes where trajectories are inspected","DevAI with 55 tasks and 365 hierarchical requirements","code agents evaluated by an agentic judge","agreement/alignment with human consensus; time; cost","For the reported OpenHands black-box setting the agentic judge reaches 90.44 percent alignment with human consensus versus 60.38 percent for an LLM-as-judge baseline","Abstract; Section 4.2 Table 3","yes: https://github.com/metauto-ai/agent-as-a-judge","yes","CONTEXT_ONLY","included_closest_work","VERIFIED_PRIMARY","Conceptually relevant agent evaluator but code-domain requirements, active workspace access, unit, labels, and metrics differ."
"agentprm","AgentPRM: Process Reward Models for LLM Agents via Step-Wise Promise and Progress","Zhiheng Xi; Chenyang Liao; Guanyu Li; Yajie Yang; Wenxiang Chen; Zhihao Zhang; Binghai Wang; Senjie Jin; Yuhao Zhou; Jian Guan; Wei Wu; Tao Ji; Tao Gui; Qi Zhang; Xuanjing Huang","2025","arXiv preprint","official_arxiv","arXiv:2511.08325","https://arxiv.org/abs/2511.08325","arXiv v1","2026-08-14","step-wise process reward modeling using progress and future promise","step-level reward with trajectory search","agent state/action context","step reward combining progress and promise/advantage","yes: process reward model training","yes","yes","no","partly","yes through search","yes","WebShop; BabyAI; TextCraft","Qwen2.5-family policies and PRMs","task success; compute efficiency","The paper reports that its 3B process reward model improves WebShop success by more than 20 percentage points over a process-value baseline in the stated search configuration","Abstract; Table 1","not verified from selected primary record","not separately released in selected primary record","CONTEXT_ONLY","freshness_reviewed_not_included_bounded_cap","VERIFIED_PRIMARY","Reviewed under the preregistered priority list but not included in the five-work paper-facing set after closer trajectory-evaluation works were found."
"toolprmbench","ToolPRMBench: Evaluating and Advancing Process Reward Models for Tool-using Agents","Dawei Li; Yuguang Yao; Zhen Tan; Huan Liu; Ruocheng Guo","2026","arXiv preprint","official_arxiv","arXiv:2601.12294","https://arxiv.org/abs/2601.12294","arXiv v1","2026-08-14","benchmarking and training process reward models for tool-use action selection","step-level pairwise preference","tool metadata; interaction history; correct and plausible incorrect next actions","pairwise action preference/correctness","yes for proposed SFT and GRPO models","yes","yes","no","no","no","yes","GTA; ToolTalk; BFCL; ToolSandbox","17 evaluated LLM/PRM systems plus trained ToolPRM variants","pairwise accuracy","ToolPRM-GRPO reports 78.6 average pairwise accuracy across the four evaluated tool-use datasets","Table 2","announced: https://github.com/David-Li0406/ToolPRMBench","announced in paper","CONTEXT_ONLY","freshness_reviewed_not_included_bounded_cap","VERIFIED_PRIMARY","Reviewed but not included in the five-work paper-facing set because it is tool-use step preference rather than full web-trajectory outcome evaluation."
"webarbiter","WebArbiter: A Principle-Guided Reasoning Process Reward Model for Web Agents","Yao Zhang; Shijie Tang; Zeyu Li; Zhen Han; Volker Tresp","2026","arXiv preprint","official_arxiv","arXiv:2601.21872","https://arxiv.org/abs/2601.21872","arXiv v2","2026-08-14","reasoning-first principle-guided process reward model for web actions","step-level pairwise candidate-action evaluation and reward-guided trajectory search","web observation/context; candidate actions; induced principles and structured reasoning","pairwise preference and scalar process reward","yes: reasoning distillation and reinforcement learning","yes","yes","no","yes","yes through search","yes","Mind2Web; WebArena; AssistantBench; WorkArena; WebArena-Lite","7B process reward model and web policies under search","pairwise accuracy; Best-of-N accuracy; task success","WebArbiter-7B reports 74.60 average Best-of-N accuracy versus 65.50 for GPT-5 on WebPRMBench","Table 2; Section 4","not verified from selected primary record","not verified from selected primary record","CONTEXT_ONLY","included_closest_work","VERIFIED_PRIMARY","Close web-agent PRM but evaluates candidate actions and search guidance with large semantic models rather than frozen structural trajectory labels."
"agentprocessbench","AgentProcessBench: Diagnosing Step-Level Process Quality in Tool-Using Agents","Shengda Fan; Xuyan Ye; Yupeng Huo; Zhi-Yuan Chen; Yiju Guo; Shenzhi Yang; Wenkai Yang; Shuqi Ye; Jingwen Chen; Haotian Chen; Xin Cong; Yankai Lin","2026","KDD 2026; DOI 10.1145/3770855.3817494","peer_reviewed_proceedings","arXiv:2603.14465; DOI:10.1145/3770855.3817494","https://arxiv.org/abs/2603.14465","arXiv v2; KDD 2026 metadata","2026-08-14","human-annotated benchmark for step effectiveness and error propagation in tool-using agents","step-level ternary annotation plus trajectory process diagnostics","tool-agent trajectories with per-step context","effective/neutral/harmful step labels and first-error diagnostics","no for benchmark; evaluated judges may be prompted models","yes","no","no","partly","yes as containing trajectories","yes","HotpotQA; GAIA; BFCL; tau2-Bench","20 evaluated language models","step accuracy; first-error accuracy","The benchmark contains 1000 trajectories and 8509 human-labeled steps with reported inter-annotator agreement of 89.1 percent and kappa 0.767","Abstract; Section 3; Table 3","yes: https://github.com/RUCBM/AgentProcessBench","yes","CONTEXT_ONLY","included_closest_work","VERIFIED_PRIMARY","Direct conceptual relevance to process failure but different unit, datasets, ternary targets, and judge access."
"cuarewardbench","CUARewardBench: Benchmarking Reward Models for Computer-Use Agents","Haojia Lin; Xiaoyu Tan; Yulei Qin; Zihan Xu; Yuchen Shi; Zongyi Li; Gang Li; Shaofei Cai; Siqi Cai; Yuzheng Cai; Chaoyou Fu; Ke Li; Xing Sun","2026","ICML 2026","official_openreview","OpenReview:Xj7V0wKlE5; arXiv:2510.18596","https://openreview.net/forum?id=Xj7V0wKlE5","ICML 2026 OpenReview record; arXiv v1 retained as earlier version","2026-08-14","benchmarking trajectory outcome and step process reward models for computer-use agents","trajectory-level outcome reward and key-step process reward","RGB screenshots plus reasoning/actions from computer-use trajectories","success/failure outcome and key-step correctness","no for benchmark; yes for proposed reward-model training","yes","yes","no","yes","yes","yes","OSWorld; 10 software categories; seven agent architectures","VLM reward models and computer-use agents","precision and NPV primary; recall and specificity secondary","The later ICML 2026 OpenReview record reports 88.0 percent precision and 95.3 percent NPV for the outcome model and 83.1 percent precision and 86.2 percent NPV for the process model","ICML 2026 OpenReview abstract","yes: https://github.com/Tencent/CUARewardBench","yes","PARTIALLY_COMPARABLE","included_closest_work","VERIFIED_WITH_LIMITATION","The official arXiv v1 abstract contains earlier numeric values; paper-facing claims use only the later official ICML 2026 OpenReview record and identify the version. Different data, screenshot/VLM access, metrics, and mixed outcome/process scope prevent direct comparison."
"similar_srm","Boosting Virtual Agent Learning and Reasoning: A Step-Wise, Multi-Dimensional, and Generalist Reward Model with Benchmark","Bingchen Miao; Yang Wu; Minghe Gao; Qifan Yu; Wendong Bu; Wenqiao Zhang; Yunfei Li; Siliang Tang; Tat-Seng Chua; Juncheng Li","2025","ICML 2025; PMLR 267:44054-44075","peer_reviewed_proceedings","PMLR:v267/miao25b; arXiv:2503.18665","https://proceedings.mlr.press/v267/miao25b.html","ICML 2025 proceedings; arXiv v2","2026-08-15","multidimensional step-wise reward modeling for multimodal virtual agents","step-level five-dimension assessment","multimodal agent observation/action trajectory context","helpfulness; odds of success; efficiency; task relevance; coherence scores","yes: Similar models trained on SRMTrain","yes","yes","no","partly","yes as containing trajectories","yes","SRMTrain and SRMEval spanning web; Android; Linux; Windows","multimodal LLM reward models","dimension accuracy and average score","Similar-RL-Llama improves average SRMEval performance by 13.2 percent over its base model; Triple-M raises the reported average from 53.9 to 61.2","Section 4; result tables in official paper","yes: https://github.com/antgroup/Similar","yes","CONTEXT_ONLY","included_closest_work","VERIFIED_PRIMARY","Canonical identity resolved: Similar is the proposed model name; PMLR, arXiv, and the official repository identify this paper title. It remains a trained multimodal step-scoring context rather than lightweight structural full-trajectory classification."
