field_path,observed_type,policy_class,included_in_primary,included_in_error_ablation,included_in_reasoning_sensitivity,justification,risk_notes
$,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.agent,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.benchmark,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.experiment,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags,dict,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action,dict,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.action_set,dict,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.action_set.demo_mode,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.action_set.multiaction,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.action_set.retry_with_force,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.action_set.strict,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.action_set.subsets,list,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.action_set.subsets[],str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.individual_examples,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.is_strict,null,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.long_description,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.action.multi_actions,null,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.add_missparsed_messages,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.be_cautious,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.enable_chat,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.extra_instructions,null,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.flag_group,null,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.max_prompt_tokens,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.max_trunc_itr,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs,dict,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.extract_clickable_tag,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.extract_coords,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.extract_visible_tag,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.filter_som_only,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.filter_visible_elements_only,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.filter_with_bid_only,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.html_type,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.openai_vision_detail,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_action_history,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_ax_tree,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_diff,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_error_logs,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_focused_element,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_history,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_html,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_past_error_logs,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_screenshot,bool,permanent_exclude,false,false,false,"Image content, placeholders, and paths are prohibited in the text contract.",Only a derived boolean reference flag is retained.
$.flags.obs.use_som,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_tabs,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.obs.use_think_history,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.use_abstract_example,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.use_concrete_example,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.use_criticise,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.use_hints,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.use_memory,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.use_plan,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.flags.use_thinking,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.goal,str,primary_input,true,true,true,Explicitly allowlisted task/action/observation/focus/natural-error field.,Natural error text requires the frozen ablation; no official outcome fields are admitted.
$.model,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.model_args,dict,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.model_args.base_url,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.model_args.max_input_tokens,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.model_args.max_new_tokens,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.model_args.max_total_tokens,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.model_args.model_name,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.model_args.temperature,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.model_args.vision_support,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.package_version,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.seed,int,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.steps,list,primary_input,true,true,true,Explicitly allowlisted task/action/observation/focus/natural-error field.,Natural error text requires the frozen ablation; no official outcome fields are admitted.
$.steps[],dict,primary_input,true,true,true,Explicitly allowlisted task/action/observation/focus/natural-error field.,Natural error text requires the frozen ablation; no official outcome fields are admitted.
$.steps[].action,null,primary_input,true,true,true,Explicitly allowlisted task/action/observation/focus/natural-error field.,Natural error text requires the frozen ablation; no official outcome fields are admitted.
$.steps[].action,str,primary_input,true,true,true,Explicitly allowlisted task/action/observation/focus/natural-error field.,Natural error text requires the frozen ablation; no official outcome fields are admitted.
$.steps[].axtree,str,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj,dict,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
$.steps[].axtree_obj.nodes,list,manual_review,false,false,false,Observed in A0.3 but not approved for any input view.,Unknown or unnecessary semantics default to rejection.
