target,feature,feature_group,standardized_coefficient,absolute_coefficient,absolute_rank,sign,interpretation_note,evidence_status
success,observation_char_count_total,G1_activity_volume,-2.2036341198743488,2.2036341198743488,1,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,observation_char_count_mean_nonempty,G1_activity_volume,1.8794611945779307,1.8794611945779307,2,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,action_char_count_total,G1_activity_volume,0.7322218588981673,0.7322218588981673,3,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,has_explicit_termination_signal,G3_termination,-0.6098788036976219,0.6098788036976219,4,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,unique_action_ratio,G4_repetition,0.5203365042865755,0.5203365042865755,5,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,consecutive_duplicate_action_count,G4_repetition,0.41314306703505665,0.41314306703505665,6,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,nonempty_focused_element_count,G1_activity_volume,-0.3268286090713689,0.3268286090713689,7,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,nonempty_action_count,G1_activity_volume,-0.22266513361571982,0.22266513361571982,8,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,nonempty_observation_count,G1_activity_volume,-0.22266513361571982,0.22266513361571982,9,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,step_count,G1_activity_volume,-0.22266513361571982,0.22266513361571982,10,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,action_char_count_mean_nonempty,G1_activity_volume,-0.16582324565120474,0.16582324565120474,11,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,natural_error_step_count,G2_error,-0.09312477373964814,0.09312477373964814,12,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
success,natural_error_step_ratio,G2_error,0.07634763838356522,0.07634763838356522,13,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,observation_char_count_mean_nonempty,G1_activity_volume,-0.8303141879031721,0.8303141879031721,1,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,nonempty_action_count,G1_activity_volume,0.6951595977941223,0.6951595977941223,2,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,nonempty_observation_count,G1_activity_volume,0.6951595977941223,0.6951595977941223,3,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,step_count,G1_activity_volume,0.6951595977941223,0.6951595977941223,4,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,nonempty_focused_element_count,G1_activity_volume,0.6695402954920133,0.6695402954920133,5,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,consecutive_duplicate_action_count,G4_repetition,0.4991983829571609,0.4991983829571609,6,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,observation_char_count_total,G1_activity_volume,0.4394463045142761,0.4394463045142761,7,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,action_char_count_total,G1_activity_volume,-0.42373284315348225,0.42373284315348225,8,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,action_char_count_mean_nonempty,G1_activity_volume,-0.38311264127775285,0.38311264127775285,9,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,has_explicit_termination_signal,G3_termination,0.32134267541574874,0.32134267541574874,10,positive,Positive association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,unique_action_ratio,G4_repetition,-0.30721105107755137,0.30721105107755137,11,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,natural_error_step_count,G2_error,-0.15032432788591132,0.15032432788591132,12,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
looping,natural_error_step_ratio,G2_error,-0.04080119395603865,0.04080119395603865,13,negative,Negative association within the frozen standardized LR; coefficient is not a causal effect.,POST_FREEZE_DIAGNOSTIC
