row_index,trajectory_key,payload_token_count,chunk_count,min_chunk_payload_tokens,max_chunk_payload_tokens,probe_member
0,assistantbench::assistantbench.validation.11::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,14376,2,6185,8191,True
1,assistantbench::assistantbench.validation.11::GenericAgent-anthropic_claude-3.7-sonnet,3236,1,3236,3236,False
2,assistantbench::assistantbench.validation.11::GenericAgent-gpt-4o-2024-11-20,13618,2,5427,8191,False
3,assistantbench::assistantbench.validation.11::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,46544,6,5589,8191,False
4,assistantbench::assistantbench.validation.25::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,14547,2,6356,8191,False
5,assistantbench::assistantbench.validation.25::GenericAgent-anthropic_claude-3.7-sonnet,2914,1,2914,2914,False
6,assistantbench::assistantbench.validation.25::GenericAgent-gpt-4o-2024-11-20,3843,1,3843,3843,False
7,assistantbench::assistantbench.validation.25::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,3368,1,3368,3368,False
8,assistantbench::assistantbench.validation.31::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,13522,2,5331,8191,False
9,assistantbench::assistantbench.validation.31::GenericAgent-anthropic_claude-3.7-sonnet,3395,1,3395,3395,False
10,assistantbench::assistantbench.validation.31::GenericAgent-gpt-4o-2024-11-20,19786,3,3404,8191,False
11,assistantbench::assistantbench.validation.31::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,5946,1,5946,5946,False
12,assistantbench::assistantbench.validation.3::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,10467,2,2276,8191,False
13,assistantbench::assistantbench.validation.3::GenericAgent-anthropic_claude-3.7-sonnet,1933,1,1933,1933,True
14,assistantbench::assistantbench.validation.3::GenericAgent-gpt-4o-2024-11-20,11131,2,2940,8191,False
15,assistantbench::assistantbench.validation.3::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,8818,2,627,8191,False
16,assistantbench::assistantbench.validation.4::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,9320,2,1129,8191,False
17,assistantbench::assistantbench.validation.4::GenericAgent-anthropic_claude-3.7-sonnet,3759,1,3759,3759,False
18,assistantbench::assistantbench.validation.4::GenericAgent-gpt-4o-2024-11-20,6574,1,6574,6574,False
19,assistantbench::assistantbench.validation.4::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,12521,2,4330,8191,False
20,assistantbench::assistantbench.validation.5::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,12752,2,4561,8191,False
21,assistantbench::assistantbench.validation.5::GenericAgent-anthropic_claude-3.7-sonnet,3155,1,3155,3155,False
22,assistantbench::assistantbench.validation.5::GenericAgent-gpt-4o-2024-11-20,4136,1,4136,4136,False
23,assistantbench::assistantbench.validation.5::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,51776,7,2630,8191,False
24,visualwebarena::visualwebarena.118::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,3131,1,3131,3131,False
25,visualwebarena::visualwebarena.118::GenericAgent-anthropic_claude-3.7-sonnet,2807,1,2807,2807,False
26,visualwebarena::visualwebarena.118::GenericAgent-gpt-4o-2024-11-20,2164,1,2164,2164,True
27,visualwebarena::visualwebarena.133::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,33998,5,1234,8191,False
28,visualwebarena::visualwebarena.133::GenericAgent-anthropic_claude-3.7-sonnet,32657,4,8084,8191,False
29,visualwebarena::visualwebarena.133::GenericAgent-gpt-4o-2024-11-20,16449,3,67,8191,False
