target,error_type,case_role,trajectory_key,primary_code,secondary_code,model_rationale,label_conflict,representation_boundary,semantic_understanding_needed,evidence_sufficiency,evidence_status
success,FP,borderline,visualwebarena::visualwebarena.331::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,LONG_BUT_UNSUCCESSFUL,STRUCTURALLY_NORMAL_SEMANTIC_FAILURE,"The 18-step trajectory has substantial observation volume and some varied navigation, which can offset its repeated scrolling in the frozen linear score.","The allowlisted final observation shows a network-security block and no task answer even though the probability is just above threshold.","Length and text-volume statistics cannot tell productive evidence gathering from a blocked destination.",yes,"Sufficient for the structural boundary; the exact site-side failure cause beyond the visible block is not inferred.",POST_FREEZE_DESCRIPTIVE
success,FP,median_error_confidence,webarena::webarena.60::GenericAgent-anthropic_claude-3.7-sonnet,TERMINATION_MISMATCH,STRUCTURALLY_NORMAL_SEMANTIC_FAILURE,"The actions are diverse and the final observation contains restaurant search results, matching several positive structural associations.","No terminal user message was issued, so reaching a result page did not complete the requested answer under the frozen label.","The representation observes activity and terminal-action structure but not whether the user received the requested semantic answer.",yes,"Sufficient: the allowlisted action sequence and terminal state expose the missing response.",POST_FREEZE_DESCRIPTIVE
success,FP,high_confidence_error,workarena::workarena.servicenow.filter-random-expenses-and-select-investments-large-l2::GenericAgent-gpt-4o-2024-11-20,LONG_BUT_UNSUCCESSFUL,UNCLEAR,"Very large action-character volume and repeated send_msg_to_user termination actions align strongly with structural features that can raise the Success score.","The frozen label is unsuccessful despite many terminal messages; the allowlisted fields do not establish whether the proposed investment set was semantically correct.","Repeated terminal-form actions and long answer strings can look completion-like while answer correctness remains unavailable to task-agnostic structure.",yes,"The structural mismatch is clear, but the precise semantic reason for the negative label is UNCLEAR.",POST_FREEZE_DESCRIPTIVE
success,FN,borderline,visualwebarena::visualwebarena.120::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,SHORT_BUT_SUCCESSFUL,,"Only two nonempty actions and three steps provide little activity volume, placing the trajectory near the frozen decision boundary.","A direct answer was produced after one page interaction and the frozen label is successful.","A short efficient path can contain enough semantic evidence even when structural counts resemble under-execution.",yes,"Sufficient: the goal, direct answer action, and successful label are mutually coherent.",POST_FREEZE_DESCRIPTIVE
success,FN,median_error_confidence,webarena::webarena.268::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,TERMINATION_MISMATCH,OTHER,"Repeated query reformulation and eighteen actions create a long search trajectory, while the terminal message says it is still waiting.","The frozen label is successful and the final observation already contains a bicycle route distance and time, although the terminal message does not relay the time.","Structural features cannot reconcile task state completion with an incomplete natural-language handoff.",yes,"Sufficient for a termination/state mismatch; no claim is made about the benchmark's internal success adjudication.",POST_FREEZE_DESCRIPTIVE
success,FN,high_confidence_error,webarena::webarena.263::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,REPETITIVE_BUT_PROGRESSING,EXPLICIT_ERROR_RECOVERY,"Thirty actions, low action diversity, cyclic clicks, and five explicit errors strongly resemble structural failure or looping.","The frozen Success label is positive, indicating that the repeated menu interactions nevertheless reached the task's accepted state.","Exact structural repetition cannot determine whether repeated submenu operations are stalled or eventually productive.",yes,"Sufficient to identify repetition plus recovery; the exact accepted state is not inferred beyond the frozen label.",POST_FREEZE_DESCRIPTIVE
looping,FP,borderline,workarena::workarena.servicenow.navigate-and-filter-hardware-list-l2::GenericAgent-gpt-4o-2024-11-20,EXPLICIT_ERROR_RECOVERY,REPETITIVE_BUT_PROGRESSING,"The maximum-length trajectory contains nine explicit interaction errors and several retries, which resemble a loop structurally.","The frozen Looping label is negative; the action sequence changes fields and advances through filter construction rather than repeating one fixed state indefinitely.","Retry counts and length do not distinguish recovery with partial progress from genuine looping.",yes,"Sufficient for an error-recovery pattern; completion of the requested filter is not asserted.",POST_FREEZE_DESCRIPTIVE
looping,FP,median_error_confidence,assistantbench::assistantbench.validation.18::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,NON_REPETITIVE_FAILURE,STRUCTURALLY_NORMAL_SEMANTIC_FAILURE,"Thirty actions and repeated search/reformulation motifs create low diversity even without consecutive identical actions.","The frozen label is non-looping; the trajectory ends in a search error after varied but unsuccessful query reformulations.","Surface diversity and step counts cannot reliably separate a long non-looping failure from a semantic search loop.",yes,"Sufficient for the descriptive non-consecutive failure pattern.",POST_FREEZE_DESCRIPTIVE
looping,FP,high_confidence_error,visualwebarena::visualwebarena.172::GenericAgent-anthropic_claude-3.7-sonnet,REPETITIVE_BUT_PROGRESSING,,"Twenty consecutive duplicate click actions and very low action diversity drive a high frozen Looping probability.","The frozen label is non-looping, and the final listing position is consistent with the same control being used repeatedly to advance through pages.","Identical action strings may cause different state transitions; the structural representation does not measure page-state progress.",yes,"Sufficient to identify repeated actions with plausible visible progress; no hidden state is assumed.",POST_FREEZE_DESCRIPTIVE
looping,FN,borderline,visualwebarena::visualwebarena.876::GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,OTHER,TERMINATION_MISMATCH,"The trajectory is only sixteen steps and contains several productive shopping actions, keeping the structural probability just below threshold.","Six consecutive noop actions form a stalled suffix before report_infeasible, while the frozen Looping label is positive.","A localized terminal loop can be diluted by earlier diverse activity and a moderate total length.",no,"Sufficient to see the stalled noop suffix; OTHER is used because the fixed taxonomy has no dedicated localized-stall code.",POST_FREEZE_DESCRIPTIVE
looping,FN,median_error_confidence,visualwebarena::visualwebarena.614::GenericAgent-gpt-4o-2024-11-20,NON_REPETITIVE_FAILURE,EXPLICIT_ERROR_RECOVERY,"There are no consecutive duplicate actions and overall action diversity is relatively high, so literal repetition features stay weak.","The frozen label is looping; the actions repeatedly alternate search edits and clicks while recovering from three errors.","Semantic cycles can recur through different action strings and element identifiers, escaping exact-action repetition statistics.",yes,"Sufficient for a non-literal search cycle and recovery pattern.",POST_FREEZE_DESCRIPTIVE
looping,FN,high_confidence_error,workarena::workarena.servicenow.order-apple-mac-book-pro15::GenericAgent-meta-llama_Llama-3.3-70B-Instruct,UNCLEAR,,"Four unique actions in five steps, no explicit error, and an order-status observation provide almost no structural looping signal.","The frozen Looping label is positive despite a short, apparently linear allowlisted trace.","The approved fields do not reveal the evidence underlying this looping label; guessing from unavailable annotations or outcome fields is prohibited.",unclear,"UNCLEAR: the allowlisted evidence is insufficient to explain the label conflict.",POST_FREEZE_DESCRIPTIVE
