risk_id,risk_family,risk_definition,status,severity,evidence_ids,reason,score_impact,decision_impact,mitigable_by_writing,mitigable_without_new_experiment,notes
CR1,SCIENTIFIC,"Systematic data or label error sufficient to change core conclusions",ABSENT,CRITICAL,R0E002;R0E003;R0E019;R0E020,"Disagreements and Unsure cases are excluded target-wise and no repository evidence identifies a remaining systematic error capable of reversing Success or Looping.","No score cap.","No confirmed scientific critical risk.",false,"true","Residual label noise is non-critical and retained in R0R10."
CR2,SCIENTIFIC,"Train/dev/test or task-group leakage sufficient to contaminate core results",ABSENT,CRITICAL,R0E004;R0E006;R0E007;R0E016;R0E017;R0E018,"Identity and outcome fields are excluded; task groups are isolated; blind inference precedes label unlock; and joins/hashes independently verify.","No score cap.","No confirmed scientific critical risk.",false,"true","A0.1 aggregate audit-only test exposure is documented but not linked to selection."
CR3,SCIENTIFIC,"Test-label information entered formal model threshold or eligibility selection",ABSENT,CRITICAL,R0E003;R0E015;R0E016;R0E017;R0E018,"Final method threshold eligibility and input representation were frozen before label unlock; repository counters show zero post-unlock selection.","No score cap.","No confirmed scientific critical risk.",false,"true","None."
CR4,SCIENTIFIC,"Post-unlock tuning used for a confirmatory result",ABSENT,CRITICAL,R0E017;R0E018;R0E019,"Post-unlock refit inference threshold eligibility metric bootstrap fusion calibration and tuning counters are zero.","No score cap.","No confirmed scientific critical risk.",false,"true","None."
CR5,SCIENTIFIC,"Primary statistical analysis has a structural error capable of changing conclusions",ABSENT,CRITICAL,R0E012;R0E017;R0E018;R0E019;R0E042,"Task-group clustering; fixed draws; invalid-draw handling; metric joins; exact recomputation checks; and numeric consistency are persisted.","No score cap.","No confirmed scientific critical risk.",false,"true","No repository contradiction was found."
CR6,SCIENTIFIC,"Core confirmatory result is untraceable or not reasonably reproducible",ABSENT,CRITICAL,R0E017;R0E018;R0E019;R0E020;R0E021;R0E040;R0E042,"Success and Looping results trace from claim IDs through frozen metrics predictions hashes commits reports and independent verification.","No score cap.","No confirmed scientific critical risk.",false,"true","None."
CR7,SCIENTIFIC,"Core manuscript claim directly contradicts frozen evidence",ABSENT,CRITICAL,R0E020;R0E041;R0E043;R0E045,"The claim ledger retains confirmatory Success/Looping; exploratory Side Effect; forbidden overclaims; and required scope boundaries without contradiction.","No score cap.","No confirmed scientific critical risk.",false,"true","Future prose must remain within the contract."
PCR1,PUBLICATION,"Substantial prior-work overlap may erase core differentiation",POSSIBLE,CRITICAL,R0E032;R0E033;R0E034;R0E035;R0E037,"AgentRewardBench shares data and targets and WebGraphEval centrally studies structural web trajectories. The audit finds meaningful target/unit/access/protocol differences but the residual contribution is narrow.","PC1 and PC5 reduced; R0R01 major.","Forces GO_WITH_MITIGATION under the frozen rule unless resolved or bounded below POSSIBLE.","true","true","Mitigable partly by exact positioning; definitive resolution may require stronger new evidence."
PCR2,PUBLICATION,"No defensible evidence-supported contribution",ABSENT,CRITICAL,R0E017;R0E023;R0E025;R0E040;R0E044,"Four bounded contributions map to persistent held-out; efficiency; and diagnostic evidence.","No score cap.","No confirmed publication critical risk.",false,"true","Contribution strength is limited but not absent."
PCR3,PUBLICATION,"Target-journal scope mismatch",ABSENT,NOT_APPLICABLE,,"PC6 was not executed because no preregistration-era target-journal dossier exists; this gate is not applicable to the general-journal decision.",PC6 NOT_SCORED.,"No journal-specific decision is made.","true","true","ABSENT denotes not triggered; it is not a positive journal-fit finding."
PCR4,PUBLICATION,"Core narrative requires overclaim",ABSENT,CRITICAL,R0E037;R0E041;R0E044;R0E045;R0E046,"A narrow narrative remains coherent without firstness; SOTA; unseen-benchmark; causal; or LLM-replacement claims.","PC4 reduced for narrative narrowing but no critical gate.","No confirmed publication critical risk.","true","true","The manuscript must use the frozen narrow thesis."
PCR5,PUBLICATION,"Fatal reviewer objection cannot be defended or bounded",ABSENT,CRITICAL,R0E014;R0E029;R0E035;R0E045;R0E046,"Novelty; external validity; and construct overlap are unresolved major concerns but each can be bounded without invalidating the narrow predictive claims.","PC5 capped due three unresolved major objections.","No confirmed publication critical risk.","true",false,"A difficult review is plausible; no single objection is presently fatal to every contribution."
